Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200687.sam
AT1G01010	174
AT1G01020	61
AT1G01030	20
AT1G01040	794
AT1G01046	4
AT1G01050	509
AT1G01060	2270
AT1G01070	47
AT1G01073	0
AT1G01080	308
AT1G01090	2187
AT1G01100	662
AT1G01110	72
AT1G01115	0
AT1G01120	2951
AT1G01130	21
AT1G01140	643
AT1G01150	0
AT1G01160	198
AT1G01170	201
AT1G01180	289
AT1G01183	0
AT1G01190	10
AT1G01200	37
AT1G01210	37
AT1G01220	224
AT1G01225	30
AT1G01230	268
AT1G01240	222
AT1G01250	1
AT1G01260	196
AT1G01270	0
AT1G01280	0
AT1G01290	101
AT1G01300	542
AT1G01305	0
AT1G01310	1
AT1G01320	2351
AT1G01340	72
AT1G01350	185
AT1G01355	2
AT1G01360	104
AT1G01370	18
AT1G01380	18
AT1G01390	130
AT1G01400	0
AT1G01410	0
AT1G01420	55
AT1G01430	1071
AT1G01440	351
AT1G01448	111
AT1G01450	0
AT1G01453	40
AT1G01460	0
AT1G01470	474
AT1G01471	0
AT1G01480	32
AT1G01490	758
AT1G01500	108
AT1G01510	422
AT1G01520	37
AT1G01530	0
AT1G01540	986
AT1G01550	1989
AT1G01560	1
AT1G01570	27
AT1G01580	8
AT1G01590	0
AT1G01600	41
AT1G01610	967
AT1G01620	11081
AT1G01630	490
AT1G01640	95
AT1G01650	292
AT1G01660	26
AT1G01670	15
AT1G01680	0
AT1G01690	30
AT1G01695	6
AT1G01700	16
AT1G01710	350
AT1G01720	625
AT1G01725	37
AT1G01730	261
AT1G01740	49
AT1G01750	110
AT1G01760	35
AT1G01770	291
AT1G01780	333
AT1G01790	1612
AT1G01800	381
AT1G01810	1
AT1G01820	532
AT1G01830	204
AT1G01840	4
AT1G01860	72
AT1G01870	0
AT1G01880	25
AT1G01890	0
AT1G01900	68
AT1G01910	323
AT1G01920	133
AT1G01930	150
AT1G01940	55
AT1G01950	320
AT1G01960	1317
AT1G01970	132
AT1G01980	0
AT1G01990	156
AT1G02000	227
AT1G02010	204
AT1G02020	185
