Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200678.sam
AT1G01010	90
AT1G01020	84
AT1G01030	19
AT1G01040	625
AT1G01046	4
AT1G01050	496
AT1G01060	2238
AT1G01070	73
AT1G01073	0
AT1G01080	317
AT1G01090	2288
AT1G01100	744
AT1G01110	42
AT1G01115	0
AT1G01120	2887
AT1G01130	29
AT1G01140	663
AT1G01150	0
AT1G01160	228
AT1G01170	273
AT1G01180	310
AT1G01183	2
AT1G01190	10
AT1G01200	39
AT1G01210	39
AT1G01220	225
AT1G01225	33
AT1G01230	266
AT1G01240	272
AT1G01250	3
AT1G01260	205
AT1G01270	0
AT1G01280	0
AT1G01290	92
AT1G01300	588
AT1G01305	0
AT1G01310	1
AT1G01320	2249
AT1G01340	58
AT1G01350	204
AT1G01355	1
AT1G01360	143
AT1G01370	17
AT1G01380	38
AT1G01390	52
AT1G01400	0
AT1G01410	0
AT1G01420	40
AT1G01430	1497
AT1G01440	310
AT1G01448	114
AT1G01450	0
AT1G01453	23
AT1G01460	0
AT1G01470	403
AT1G01471	0
AT1G01480	33
AT1G01490	522
AT1G01500	80
AT1G01510	370
AT1G01520	14
AT1G01530	0
AT1G01540	1100
AT1G01550	1698
AT1G01560	0
AT1G01570	35
AT1G01580	18
AT1G01590	0
AT1G01600	55
AT1G01610	917
AT1G01620	14146
AT1G01630	601
AT1G01640	80
AT1G01650	320
AT1G01660	37
AT1G01670	11
AT1G01680	0
AT1G01690	37
AT1G01695	2
AT1G01700	9
AT1G01710	376
AT1G01720	248
AT1G01725	47
AT1G01730	254
AT1G01740	31
AT1G01750	124
AT1G01760	42
AT1G01770	286
AT1G01780	257
AT1G01790	1091
AT1G01800	432
AT1G01810	0
AT1G01820	503
AT1G01830	137
AT1G01840	2
AT1G01860	67
AT1G01870	0
AT1G01880	15
AT1G01890	0
AT1G01900	81
AT1G01910	360
AT1G01920	120
AT1G01930	127
AT1G01940	50
AT1G01950	327
AT1G01960	1279
AT1G01970	188
AT1G01980	0
AT1G01990	176
AT1G02000	200
AT1G02010	199
AT1G02020	173
AT1G02030	9
AT1G02040	0
AT1G02050	88
AT1G02060	81
AT1G02065	1
AT1G02070	0
AT1G02074	1
AT1G02080	1422
AT1G02090	248
AT1G02100	564
AT1G02110	398
AT1G02120	1070
AT1G02130	322
AT1G02140	502
AT1G02145	206
AT1G02150	593
AT1G02160	78
AT1G02170	287
AT1G02180	30
AT1G02190	1
AT1G02205	111
AT1G02210	0
AT1G02220	30
AT1G02230	7
AT1G02250	0
AT1G02260	177
AT1G02270	157
AT1G02280	578
AT1G02290	95
AT1G02300	161
AT1G02305	1077
AT1G02310	12
AT1G02320	1
AT1G02330	180
AT1G02335	205
AT1G02340	126
AT1G02350	10
AT1G02360	346
AT1G02370	18
AT1G02380	28
AT1G02390	11
AT1G02391	0
AT1G02400	110
AT1G02405	4
AT1G02410	126
AT1G02420	29
AT1G02430	8
AT1G02440	2
AT1G02450	0
AT1G02460	27
AT1G02470	10
AT1G02475	210
AT1G02480	0
AT1G02490	1
AT1G02500	6215
AT1G02510	0
AT1G02520	89
AT1G02530	3
AT1G02540	0
AT1G02550	0
AT1G02560	925
AT1G02570	37
AT1G02575	14
AT1G02580	5
AT1G02590	0
AT1G02600	0
AT1G02610	60
AT1G02620	4
AT1G02630	1
AT1G02640	845
AT1G02650	30
AT1G02660	374
AT1G02670	26
AT1G02680	69
AT1G02690	129
AT1G02700	5
AT1G02710	19
AT1G02720	94
AT1G02730	482
AT1G02740	73
AT1G02750	80
AT1G02760	0
AT1G02770	17
AT1G02780	2556
AT1G02790	0
AT1G02800	7
AT1G02810	86
AT1G02813	0
AT1G02816	127
AT1G02820	15
AT1G02830	0
AT1G02840	1613
AT1G02850	116
AT1G02860	334
AT1G02870	58
AT1G02880	178
AT1G02890	1585
AT1G02900	394
AT1G02910	314
AT1G02920	189
AT1G02930	114
AT1G02940	0
AT1G02950	50
AT1G02952	0
AT1G02960	240
AT1G02965	0
AT1G02970	21
AT1G02980	4
AT1G02990	229
AT1G03000	355
AT1G03010	18
AT1G03020	1
AT1G03022	0
AT1G03030	154
AT1G03040	336
AT1G03050	0
AT1G03055	17
AT1G03060	965
AT1G03070	11
AT1G03080	1871
AT1G03090	3324
AT1G03100	24
AT1G03103	0
AT1G03106	4
AT1G03110	68
AT1G03120	9
AT1G03130	3514
AT1G03140	510
AT1G03150	124
AT1G03160	386
AT1G03170	5
AT1G03180	26
AT1G03190	145
AT1G03200	2
AT1G03210	340
AT1G03220	4256
AT1G03230	320
AT1G03240	0
AT1G03250	168
AT1G03260	117
AT1G03270	27
AT1G03280	443
AT1G03290	324
AT1G03300	63
AT1G03310	222
AT1G03320	4
AT1G03330	167
AT1G03340	55
AT1G03350	468
AT1G03360	52
AT1G03365	224
AT1G03370	550
AT1G03380	841
AT1G03390	0
AT1G03400	98
AT1G03410	372
AT1G03430	144
AT1G03440	154
AT1G03445	14
AT1G03457	308
AT1G03470	175
AT1G03475	1040
AT1G03490	0
AT1G03495	85
AT1G03502	1
AT1G03506	2
AT1G03510	7
AT1G03515	0
AT1G03520	177
AT1G03530	98
AT1G03540	23
AT1G03545	0
AT1G03550	85
AT1G03560	115
AT1G03570	0
AT1G03590	733
AT1G03600	1998
AT1G03610	420
AT1G03620	15
AT1G03630	538
AT1G03640	0
AT1G03650	15
AT1G03660	20
AT1G03670	0
AT1G03680	727
AT1G03687	87
AT1G03700	1
AT1G03710	0
AT1G03720	0
AT1G03730	72
AT1G03740	499
AT1G03743	0
AT1G03746	0
AT1G03750	90
AT1G03760	60
AT1G03770	81
AT1G03780	132
AT1G03790	76
AT1G03800	19
AT1G03810	0
AT1G03820	34
AT1G03830	95
AT1G03840	12
AT1G03850	444
AT1G03860	325
AT1G03870	5366
AT1G03880	0
AT1G03890	0
AT1G03900	946
AT1G03905	59
AT1G03910	480
AT1G03920	123
AT1G03930	522
AT1G03935	5
AT1G03940	64
AT1G03950	132
AT1G03960	108
AT1G03970	45
AT1G03980	2
AT1G03982	0
AT1G03990	76
AT1G04000	123
AT1G04010	137
AT1G04020	56
AT1G04030	102
AT1G04040	1350
AT1G04050	64
AT1G04070	29
AT1G04080	868
AT1G04090	21
AT1G04100	57
AT1G04110	67
AT1G04120	1149
AT1G04130	75
AT1G04140	1339
AT1G04150	3
AT1G04160	182
AT1G04170	730
AT1G04171	0
AT1G04180	20
AT1G04190	165
AT1G04200	278
AT1G04210	569
AT1G04220	267
AT1G04230	83
AT1G04240	939
AT1G04250	1326
AT1G04260	121
AT1G04270	1199
AT1G04280	1044
AT1G04290	12
AT1G04295	0
AT1G04300	1222
AT1G04310	135
AT1G04320	0
AT1G04330	1
AT1G04340	120
AT1G04350	339
AT1G04360	45
AT1G04370	0
AT1G04380	3
AT1G04390	132
AT1G04400	1652
AT1G04410	8007
AT1G04420	420
AT1G04425	11
AT1G04430	1444
AT1G04440	1039
AT1G04445	4
AT1G04450	0
AT1G04470	0
AT1G04480	474
AT1G04490	8
AT1G04500	0
AT1G04501	0
AT1G04510	371
AT1G04520	82
AT1G04530	414
AT1G04540	45
AT1G04550	207
AT1G04555	42
AT1G04560	6
AT1G04570	5
AT1G04580	1
AT1G04590	113
AT1G04600	6
AT1G04610	32
AT1G04620	162
AT1G04625	0
AT1G04630	201
AT1G04635	5
AT1G04640	96
AT1G04645	0
AT1G04650	18
AT1G04660	532
AT1G04670	1
AT1G04680	1273
AT1G04684	0
AT1G04690	595
AT1G04700	92
AT1G04710	108
AT1G04720	0
AT1G04730	35
AT1G04750	651
AT1G04760	11
AT1G04770	123
AT1G04778	7
AT1G04780	497
AT1G04790	235
AT1G04800	1808
AT1G04810	825
AT1G04820	5799
AT1G04830	217
AT1G04840	10
AT1G04850	698
AT1G04860	416
AT1G04870	119
AT1G04880	14
AT1G04890	0
AT1G04900	57
AT1G04910	329
AT1G04920	17
AT1G04930	35
AT1G04940	2
AT1G04945	43
AT1G04950	281
AT1G04960	290
AT1G04970	437
AT1G04980	106
AT1G04985	293
AT1G04990	247
AT1G05000	102
AT1G05010	5812
AT1G05020	103
AT1G05030	128
AT1G05040	0
AT1G05055	81
AT1G05060	116
AT1G05065	6
AT1G05070	102
AT1G05080	0
AT1G05085	0
AT1G05090	35
AT1G05100	5
AT1G05120	325
AT1G05136	0
AT1G05140	338
AT1G05150	762
AT1G05160	97
AT1G05170	153
AT1G05180	300
AT1G05190	1890
AT1G05200	265
AT1G05205	109
AT1G05210	31
AT1G05220	10
AT1G05230	461
AT1G05240	0
AT1G05250	285
AT1G05260	1474
AT1G05270	303
AT1G05280	8
AT1G05290	0
AT1G05291	0
AT1G05300	61
AT1G05310	57
AT1G05320	597
AT1G05330	5
AT1G05340	119
AT1G05350	266
AT1G05360	148
AT1G05370	14
AT1G05380	595
AT1G05385	164
AT1G05390	0
AT1G05400	14
AT1G05410	137
AT1G05420	23
AT1G05430	220
AT1G05440	17
AT1G05450	2
AT1G05460	91
AT1G05470	251
AT1G05490	27
AT1G05500	477
AT1G05510	2
AT1G05520	467
AT1G05530	14
AT1G05540	7
AT1G05550	2
AT1G05560	16
AT1G05562	0
AT1G05570	2984
AT1G05575	35
AT1G05577	0
AT1G05580	0
AT1G05590	160
AT1G05600	66
AT1G05610	5
AT1G05615	0
AT1G05620	252
AT1G05630	261
AT1G05640	27
AT1G05650	50
AT1G05660	75
AT1G05670	71
AT1G05675	0
AT1G05680	19
AT1G05690	25
AT1G05700	36
AT1G05710	115
AT1G05720	117
AT1G05730	3
AT1G05740	0
AT1G05750	29
AT1G05760	0
AT1G05770	7
AT1G05780	65
AT1G05785	81
AT1G05790	371
AT1G05800	0
AT1G05805	426
AT1G05810	409
AT1G05820	46
AT1G05830	739
AT1G05835	46
AT1G05840	418
AT1G05850	6391
AT1G05860	88
AT1G05870	389
AT1G05880	1
AT1G05890	1163
AT1G05894	2
AT1G05900	147
AT1G05910	262
AT1G05920	0
AT1G05925	0
AT1G05930	0
AT1G05940	331
AT1G05950	75
AT1G05960	1423
AT1G05970	63
AT1G05980	0
AT1G05990	14
AT1G06000	88
AT1G06002	0
AT1G06010	39
AT1G06020	4
AT1G06030	5
AT1G06040	1300
AT1G06050	69
AT1G06060	279
AT1G06070	156
AT1G06080	21
AT1G06090	172
AT1G06100	4
AT1G06110	529
AT1G06120	59
AT1G06130	132
AT1G06135	0
AT1G06137	0
AT1G06140	9
AT1G06148	1
AT1G06149	0
AT1G06150	23
AT1G06160	4
AT1G06170	11
AT1G06180	22
AT1G06190	260
AT1G06200	303
AT1G06210	278
AT1G06220	518
AT1G06225	0
AT1G06230	756
AT1G06240	77
AT1G06250	41
AT1G06260	0
AT1G06265	41
AT1G06270	19
AT1G06280	0
AT1G06290	708
AT1G06310	3
AT1G06320	0
AT1G06330	0
AT1G06340	1
AT1G06350	81
AT1G06360	681
AT1G06380	55
AT1G06390	779
AT1G06400	585
AT1G06410	1939
AT1G06420	6
AT1G06430	682
AT1G06440	7
AT1G06450	54
AT1G06460	254
AT1G06470	202
AT1G06475	13
AT1G06480	0
AT1G06490	94
AT1G06500	80
AT1G06510	107
AT1G06515	124
AT1G06520	40
AT1G06530	364
AT1G06540	2
AT1G06550	508
AT1G06560	115
AT1G06570	977
AT1G06580	26
AT1G06590	87
AT1G06610	0
AT1G06620	320
AT1G06630	216
AT1G06640	2078
AT1G06645	150
AT1G06650	272
AT1G06660	26
AT1G06670	510
AT1G06680	16272
AT1G06690	220
AT1G06700	1456
AT1G06710	38
AT1G06720	192
AT1G06730	145
AT1G06750	12
AT1G06760	1308
AT1G06770	79
AT1G06780	208
AT1G06790	45
AT1G06800	179
AT1G06810	0
AT1G06820	339
AT1G06830	20
AT1G06840	513
AT1G06850	217
AT1G06860	0
AT1G06870	169
AT1G06880	0
AT1G06890	532
AT1G06900	810
AT1G06910	46
AT1G06920	1
AT1G06923	19
AT1G06925	0
AT1G06930	8
AT1G06950	1266
AT1G06960	108
AT1G06970	1
AT1G06980	85
AT1G06990	0
AT1G07000	278
AT1G07010	398
AT1G07020	113
AT1G07025	0
AT1G07030	149
AT1G07040	516
AT1G07050	27
AT1G07051	0
AT1G07060	1
AT1G07070	64
AT1G07080	706
AT1G07090	137
AT1G07100	0
AT1G07110	1258
AT1G07119	1
AT1G07120	1
AT1G07128	2
AT1G07130	0
AT1G07135	34
AT1G07140	1316
AT1G07150	78
AT1G07160	3
AT1G07170	105
AT1G07175	2
AT1G07180	87
AT1G07190	0
AT1G07200	635
AT1G07210	163
AT1G07220	62
AT1G07230	581
