Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200691.sam
AT1G01010	112
AT1G01020	61
AT1G01030	21
AT1G01040	611
AT1G01046	0
AT1G01050	471
AT1G01060	1737
AT1G01070	57
AT1G01073	0
AT1G01080	333
AT1G01090	2064
AT1G01100	685
AT1G01110	44
AT1G01115	0
AT1G01120	2407
AT1G01130	22
AT1G01140	759
AT1G01150	0
AT1G01160	218
AT1G01170	220
AT1G01180	176
AT1G01183	0
AT1G01190	7
AT1G01200	44
AT1G01210	24
AT1G01220	217
AT1G01225	22
AT1G01230	249
AT1G01240	190
AT1G01250	2
AT1G01260	162
AT1G01270	0
AT1G01280	0
AT1G01290	88
AT1G01300	636
AT1G01305	0
AT1G01310	0
AT1G01320	2743
AT1G01340	67
AT1G01350	158
AT1G01355	1
AT1G01360	93
AT1G01370	27
AT1G01380	21
AT1G01390	80
AT1G01400	0
AT1G01410	0
AT1G01420	42
AT1G01430	1056
AT1G01440	264
AT1G01448	87
AT1G01450	0
AT1G01453	36
AT1G01460	0
AT1G01470	548
AT1G01471	0
AT1G01480	29
AT1G01490	524
AT1G01500	66
AT1G01510	286
AT1G01520	29
AT1G01530	0
AT1G01540	967
AT1G01550	1489
AT1G01560	0
AT1G01570	23
AT1G01580	10
AT1G01590	0
AT1G01600	31
AT1G01610	822
AT1G01620	8971
AT1G01630	487
AT1G01640	53
AT1G01650	291
AT1G01660	38
AT1G01670	1
AT1G01680	0
AT1G01690	34
AT1G01695	1
AT1G01700	8
AT1G01710	277
AT1G01720	369
AT1G01725	32
AT1G01730	196
AT1G01740	35
AT1G01750	124
AT1G01760	37
AT1G01770	229
AT1G01780	230
AT1G01790	1371
AT1G01800	312
AT1G01810	1
AT1G01820	389
AT1G01830	147
AT1G01840	5
AT1G01860	55
AT1G01870	0
AT1G01880	21
AT1G01890	0
AT1G01900	75
AT1G01910	312
AT1G01920	120
AT1G01930	120
AT1G01940	64
AT1G01950	278
AT1G01960	1151
AT1G01970	155
AT1G01980	0
AT1G01990	116
AT1G02000	153
AT1G02010	191
AT1G02020	153
AT1G02030	6
AT1G02040	0
AT1G02050	61
AT1G02060	64
AT1G02065	6
AT1G02070	0
AT1G02074	2
AT1G02080	1333
AT1G02090	234
AT1G02100	376
AT1G02110	283
AT1G02120	779
AT1G02130	286
AT1G02140	434
AT1G02145	175
AT1G02150	551
AT1G02160	66
AT1G02170	287
AT1G02180	27
AT1G02190	2
AT1G02205	161
AT1G02210	0
AT1G02220	41
AT1G02230	15
AT1G02250	0
AT1G02260	111
AT1G02270	138
AT1G02280	432
AT1G02290	83
AT1G02300	124
AT1G02305	743
AT1G02310	6
AT1G02320	0
AT1G02330	187
AT1G02335	264
AT1G02340	96
AT1G02350	10
AT1G02360	313
AT1G02370	29
AT1G02380	32
AT1G02390	16
AT1G02391	0
AT1G02400	107
AT1G02405	0
AT1G02410	118
AT1G02420	20
AT1G02430	8
AT1G02440	0
AT1G02450	0
AT1G02460	31
AT1G02470	2
AT1G02475	193
AT1G02480	0
AT1G02490	0
AT1G02500	4857
AT1G02510	0
AT1G02520	84
AT1G02530	2
AT1G02540	0
AT1G02550	0
AT1G02560	984
AT1G02570	16
AT1G02575	5
AT1G02580	5
AT1G02590	0
AT1G02600	0
AT1G02610	40
AT1G02620	8
AT1G02630	1
AT1G02640	671
AT1G02650	27
AT1G02660	290
AT1G02670	18
AT1G02680	64
AT1G02690	130
AT1G02700	10
AT1G02710	22
AT1G02720	88
AT1G02730	409
AT1G02740	75
AT1G02750	70
AT1G02760	0
AT1G02770	15
AT1G02780	2700
AT1G02790	0
AT1G02800	10
AT1G02810	96
AT1G02813	0
AT1G02816	161
AT1G02820	11
AT1G02830	0
AT1G02840	1101
AT1G02850	200
AT1G02860	261
AT1G02870	56
AT1G02880	182
AT1G02890	1454
AT1G02900	359
AT1G02910	387
AT1G02920	276
AT1G02930	119
AT1G02940	0
AT1G02950	75
AT1G02952	0
AT1G02960	164
AT1G02965	0
AT1G02970	30
AT1G02980	1
AT1G02990	206
AT1G03000	308
AT1G03010	18
AT1G03020	0
AT1G03022	0
AT1G03030	140
AT1G03040	292
AT1G03050	0
AT1G03055	16
AT1G03060	835
AT1G03070	17
AT1G03080	1523
AT1G03090	1952
AT1G03100	20
AT1G03103	0
AT1G03106	3
AT1G03110	82
AT1G03120	3
AT1G03130	3874
AT1G03140	391
AT1G03150	105
AT1G03160	354
AT1G03170	13
AT1G03180	21
AT1G03190	108
AT1G03200	2
AT1G03210	218
AT1G03220	3053
AT1G03230	275
AT1G03240	2
AT1G03250	163
AT1G03260	79
AT1G03270	19
AT1G03280	393
AT1G03290	252
AT1G03300	63
AT1G03310	213
AT1G03320	4
AT1G03330	150
AT1G03340	40
AT1G03350	466
AT1G03360	49
AT1G03365	167
AT1G03370	360
AT1G03380	722
AT1G03390	0
AT1G03400	104
AT1G03410	275
AT1G03430	93
AT1G03440	135
AT1G03445	8
AT1G03457	196
AT1G03470	104
AT1G03475	1023
AT1G03490	0
AT1G03495	61
AT1G03502	0
AT1G03506	2
AT1G03510	5
AT1G03515	0
AT1G03520	147
AT1G03530	90
AT1G03540	9
AT1G03545	1
AT1G03550	57
AT1G03560	100
AT1G03570	0
AT1G03590	574
AT1G03600	2049
AT1G03610	299
AT1G03620	17
AT1G03630	672
AT1G03640	0
AT1G03650	10
AT1G03660	9
AT1G03670	0
AT1G03680	984
AT1G03687	70
AT1G03700	11
AT1G03710	0
AT1G03720	0
AT1G03730	52
AT1G03740	475
AT1G03743	0
AT1G03746	0
AT1G03750	67
AT1G03760	41
AT1G03770	58
AT1G03780	122
AT1G03790	123
AT1G03800	9
AT1G03810	0
AT1G03820	37
AT1G03830	72
AT1G03840	23
AT1G03850	256
AT1G03860	312
