Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200655.sam
AT1G01010	70
AT1G01020	42
AT1G01030	25
AT1G01040	508
AT1G01046	0
AT1G01050	297
AT1G01060	1277
AT1G01070	24
AT1G01073	0
AT1G01080	201
AT1G01090	1831
AT1G01100	506
AT1G01110	67
AT1G01115	0
AT1G01120	2029
AT1G01130	23
AT1G01140	438
AT1G01150	0
AT1G01160	185
AT1G01170	219
AT1G01180	237
AT1G01183	0
AT1G01190	8
AT1G01200	21
AT1G01210	40
AT1G01220	148
AT1G01225	17
AT1G01230	203
AT1G01240	202
AT1G01250	2
AT1G01260	159
AT1G01270	0
AT1G01280	0
AT1G01290	86
AT1G01300	507
AT1G01305	0
AT1G01310	0
AT1G01320	1263
AT1G01340	36
AT1G01350	125
AT1G01355	0
AT1G01360	85
AT1G01370	10
AT1G01380	16
AT1G01390	109
AT1G01400	0
AT1G01410	0
AT1G01420	43
AT1G01430	1100
AT1G01440	255
AT1G01448	65
AT1G01450	0
AT1G01453	11
AT1G01460	0
AT1G01470	267
AT1G01471	0
AT1G01480	19
AT1G01490	583
AT1G01500	56
AT1G01510	320
AT1G01520	15
AT1G01530	0
AT1G01540	767
AT1G01550	1356
AT1G01560	0
AT1G01570	15
AT1G01580	18
AT1G01590	1
AT1G01600	30
AT1G01610	661
AT1G01620	12667
AT1G01630	378
AT1G01640	45
AT1G01650	190
AT1G01660	22
AT1G01670	9
AT1G01680	0
AT1G01690	32
AT1G01695	2
AT1G01700	5
AT1G01710	192
AT1G01720	189
AT1G01725	43
AT1G01730	204
AT1G01740	28
AT1G01750	59
AT1G01760	21
AT1G01770	175
AT1G01780	181
AT1G01790	779
AT1G01800	308
AT1G01810	5
AT1G01820	424
AT1G01830	97
AT1G01840	6
AT1G01860	30
AT1G01870	0
AT1G01880	21
AT1G01890	0
AT1G01900	96
AT1G01910	220
AT1G01920	94
AT1G01930	101
AT1G01940	39
AT1G01950	209
AT1G01960	845
AT1G01970	100
AT1G01980	0
AT1G01990	154
AT1G02000	160
AT1G02010	129
AT1G02020	148
AT1G02030	9
AT1G02040	0
AT1G02050	68
AT1G02060	51
AT1G02065	3
AT1G02070	2
AT1G02074	0
AT1G02080	1031
AT1G02090	186
AT1G02100	396
AT1G02110	289
AT1G02120	722
AT1G02130	219
AT1G02140	371
AT1G02145	127
AT1G02150	411
AT1G02160	65
AT1G02170	226
AT1G02180	22
AT1G02190	1
AT1G02205	40
AT1G02210	0
AT1G02220	14
AT1G02230	3
AT1G02250	0
AT1G02260	98
AT1G02270	74
AT1G02280	296
AT1G02290	82
AT1G02300	132
AT1G02305	766
AT1G02310	3
AT1G02320	0
AT1G02330	145
AT1G02335	166
AT1G02340	176
AT1G02350	19
AT1G02360	171
AT1G02370	28
AT1G02380	14
AT1G02390	5
AT1G02391	0
AT1G02400	67
AT1G02405	0
AT1G02410	90
AT1G02420	12
AT1G02430	7
AT1G02440	0
AT1G02450	0
AT1G02460	1
