Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200681.sam
AT1G01010	79
AT1G01020	75
AT1G01030	25
AT1G01040	714
AT1G01046	2
AT1G01050	444
AT1G01060	1722
AT1G01070	43
AT1G01073	0
AT1G01080	261
AT1G01090	2024
AT1G01100	638
AT1G01110	75
AT1G01115	0
AT1G01120	2801
AT1G01130	21
AT1G01140	546
AT1G01150	0
AT1G01160	223
AT1G01170	191
AT1G01180	264
AT1G01183	0
AT1G01190	9
AT1G01200	39
AT1G01210	49
AT1G01220	172
AT1G01225	28
AT1G01230	257
AT1G01240	255
AT1G01250	2
AT1G01260	203
AT1G01270	0
AT1G01280	0
AT1G01290	120
AT1G01300	593
AT1G01305	0
AT1G01310	0
AT1G01320	1644
AT1G01340	39
AT1G01350	161
AT1G01355	4
AT1G01360	124
AT1G01370	30
AT1G01380	17
AT1G01390	112
AT1G01400	0
AT1G01410	0
AT1G01420	47
AT1G01430	1178
AT1G01440	305
AT1G01448	93
AT1G01450	0
AT1G01453	20
AT1G01460	0
AT1G01470	366
AT1G01471	0
AT1G01480	30
AT1G01490	584
AT1G01500	64
AT1G01510	396
AT1G01520	25
AT1G01530	0
AT1G01540	1033
AT1G01550	1704
AT1G01560	7
AT1G01570	16
AT1G01580	44
AT1G01590	0
AT1G01600	36
AT1G01610	802
AT1G01620	14732
AT1G01630	507
AT1G01640	79
AT1G01650	239
AT1G01660	39
AT1G01670	7
AT1G01680	2
AT1G01690	44
AT1G01695	3
AT1G01700	20
AT1G01710	330
AT1G01720	314
AT1G01725	52
AT1G01730	259
AT1G01740	37
AT1G01750	81
AT1G01760	31
AT1G01770	249
AT1G01780	343
AT1G01790	1189
AT1G01800	380
AT1G01810	9
AT1G01820	487
AT1G01830	120
AT1G01840	8
AT1G01860	64
AT1G01870	0
AT1G01880	28
AT1G01890	0
AT1G01900	116
AT1G01910	344
AT1G01920	188
AT1G01930	134
AT1G01940	64
AT1G01950	323
AT1G01960	1067
AT1G01970	143
AT1G01980	1
AT1G01990	170
AT1G02000	196
AT1G02010	194
AT1G02020	190
AT1G02030	7
AT1G02040	0
AT1G02050	85
AT1G02060	80
AT1G02065	4
AT1G02070	0
AT1G02074	1
AT1G02080	1343
AT1G02090	237
AT1G02100	544
AT1G02110	297
AT1G02120	1041
AT1G02130	310
AT1G02140	497
AT1G02145	171
AT1G02150	504
AT1G02160	71
AT1G02170	292
AT1G02180	28
AT1G02190	2
AT1G02205	102
AT1G02210	0
AT1G02220	20
AT1G02230	2
AT1G02250	0
AT1G02260	142
AT1G02270	130
AT1G02280	355
AT1G02290	81
AT1G02300	179
AT1G02305	886
AT1G02310	3
AT1G02320	0
AT1G02330	201
AT1G02335	285
AT1G02340	270
AT1G02350	11
AT1G02360	219
AT1G02370	43
AT1G02380	13
AT1G02390	15
AT1G02391	0
AT1G02400	91
AT1G02405	3
AT1G02410	108
AT1G02420	27
AT1G02430	18
AT1G02440	0
AT1G02450	2
AT1G02460	5
AT1G02470	11
AT1G02475	142
AT1G02480	0
AT1G02490	1
AT1G02500	4532
AT1G02510	0
AT1G02520	61
AT1G02530	2
AT1G02540	0
AT1G02550	0
AT1G02560	854
AT1G02570	23
AT1G02575	2
AT1G02580	9
AT1G02590	0
AT1G02600	0
AT1G02610	48
AT1G02620	2
AT1G02630	3
AT1G02640	537
AT1G02650	24
AT1G02660	507
AT1G02670	47
AT1G02680	65
AT1G02690	143
AT1G02700	11
AT1G02710	11
AT1G02720	78
AT1G02730	370
AT1G02740	100
AT1G02750	90
AT1G02760	0
AT1G02770	22
AT1G02780	2543
AT1G02790	0
AT1G02800	15
AT1G02810	134
AT1G02813	0
AT1G02816	99
AT1G02820	11
AT1G02830	0
AT1G02840	1794
AT1G02850	156
AT1G02860	344
AT1G02870	70
AT1G02880	183
AT1G02890	1347
AT1G02900	333
AT1G02910	300
AT1G02920	140
AT1G02930	71
AT1G02940	1
AT1G02950	87
AT1G02952	0
AT1G02960	234
AT1G02965	0
AT1G02970	13
AT1G02980	1
AT1G02990	220
AT1G03000	325
AT1G03010	11
AT1G03020	0
AT1G03022	0
AT1G03030	116
AT1G03040	262
AT1G03050	0
AT1G03055	12
AT1G03060	676
AT1G03070	10
AT1G03080	1533
AT1G03090	3543
AT1G03100	24
AT1G03103	0
AT1G03106	3
AT1G03110	83
AT1G03120	7
AT1G03130	3263
AT1G03140	455
AT1G03150	108
AT1G03160	341
AT1G03170	7
AT1G03180	19
AT1G03190	104
AT1G03200	1
AT1G03210	310
AT1G03220	2707
AT1G03230	236
AT1G03240	1
AT1G03250	184
AT1G03260	80
AT1G03270	21
AT1G03280	458
AT1G03290	316
