Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200675.sam
AT1G01010	89
AT1G01020	37
AT1G01030	22
AT1G01040	563
AT1G01046	3
AT1G01050	371
AT1G01060	1431
AT1G01070	26
AT1G01073	0
AT1G01080	230
AT1G01090	2036
AT1G01100	652
AT1G01110	70
AT1G01115	0
AT1G01120	2500
AT1G01130	29
AT1G01140	517
AT1G01150	0
AT1G01160	173
AT1G01170	186
AT1G01180	292
AT1G01183	0
AT1G01190	12
AT1G01200	44
AT1G01210	46
AT1G01220	157
AT1G01225	25
AT1G01230	227
AT1G01240	201
AT1G01250	2
AT1G01260	191
AT1G01270	0
AT1G01280	0
AT1G01290	92
AT1G01300	596
AT1G01305	0
AT1G01310	0
AT1G01320	1637
AT1G01340	48
AT1G01350	137
AT1G01355	3
AT1G01360	100
AT1G01370	21
AT1G01380	17
AT1G01390	155
AT1G01400	0
AT1G01410	0
AT1G01420	35
AT1G01430	1085
AT1G01440	315
AT1G01448	93
AT1G01450	0
AT1G01453	20
AT1G01460	0
AT1G01470	321
AT1G01471	0
AT1G01480	27
AT1G01490	578
AT1G01500	80
AT1G01510	379
AT1G01520	17
AT1G01530	0
AT1G01540	1031
AT1G01550	1479
AT1G01560	2
AT1G01570	18
AT1G01580	41
AT1G01590	0
AT1G01600	39
AT1G01610	705
AT1G01620	14746
AT1G01630	429
AT1G01640	75
AT1G01650	238
AT1G01660	33
AT1G01670	8
AT1G01680	0
AT1G01690	24
AT1G01695	5
AT1G01700	15
AT1G01710	258
AT1G01720	243
AT1G01725	41
AT1G01730	252
AT1G01740	37
AT1G01750	101
AT1G01760	29
AT1G01770	182
AT1G01780	282
AT1G01790	1138
AT1G01800	356
AT1G01810	2
AT1G01820	431
AT1G01830	117
AT1G01840	5
AT1G01860	41
AT1G01870	0
AT1G01880	19
AT1G01890	0
AT1G01900	107
AT1G01910	314
AT1G01920	124
AT1G01930	122
AT1G01940	52
AT1G01950	264
AT1G01960	1072
AT1G01970	126
AT1G01980	0
AT1G01990	170
AT1G02000	203
AT1G02010	160
AT1G02020	143
AT1G02030	10
AT1G02040	0
AT1G02050	87
AT1G02060	72
AT1G02065	3
AT1G02070	1
AT1G02074	0
AT1G02080	1158
AT1G02090	214
AT1G02100	451
AT1G02110	305
AT1G02120	814
AT1G02130	267
AT1G02140	500
AT1G02145	147
AT1G02150	476
AT1G02160	67
AT1G02170	294
AT1G02180	17
AT1G02190	0
AT1G02205	59
AT1G02210	0
AT1G02220	22
AT1G02230	5
AT1G02250	0
AT1G02260	137
AT1G02270	81
AT1G02280	381
AT1G02290	81
AT1G02300	152
AT1G02305	892
AT1G02310	8
AT1G02320	0
AT1G02330	175
AT1G02335	299
AT1G02340	213
AT1G02350	15
AT1G02360	254
AT1G02370	32
AT1G02380	10
AT1G02390	10
AT1G02391	0
AT1G02400	88
AT1G02405	1
AT1G02410	100
AT1G02420	17
AT1G02430	15
AT1G02440	0
AT1G02450	0
AT1G02460	14
AT1G02470	4
AT1G02475	128
AT1G02480	0
AT1G02490	0
AT1G02500	5358
AT1G02510	0
AT1G02520	66
AT1G02530	1
AT1G02540	0
AT1G02550	0
AT1G02560	772
AT1G02570	21
AT1G02575	9
AT1G02580	9
AT1G02590	0
AT1G02600	0
AT1G02610	32
AT1G02620	6
AT1G02630	4
AT1G02640	529
