Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200668.sam
AT1G01010	76
AT1G01020	60
AT1G01030	18
AT1G01040	644
AT1G01046	1
AT1G01050	394
AT1G01060	3042
AT1G01070	14
AT1G01073	0
AT1G01080	359
AT1G01090	2064
AT1G01100	584
AT1G01110	23
AT1G01115	0
AT1G01120	3202
AT1G01130	23
AT1G01140	462
AT1G01150	0
AT1G01160	239
AT1G01170	260
AT1G01180	313
AT1G01183	0
AT1G01190	9
AT1G01200	21
AT1G01210	40
AT1G01220	215
AT1G01225	24
AT1G01230	201
AT1G01240	164
AT1G01250	6
AT1G01260	150
AT1G01270	0
AT1G01280	0
AT1G01290	101
AT1G01300	275
AT1G01305	0
AT1G01310	0
AT1G01320	2388
AT1G01340	80
AT1G01350	188
AT1G01355	0
AT1G01360	122
AT1G01370	14
AT1G01380	24
AT1G01390	76
AT1G01400	0
AT1G01410	0
AT1G01420	95
AT1G01430	1742
AT1G01440	311
AT1G01448	98
AT1G01450	0
AT1G01453	20
AT1G01460	0
AT1G01470	569
AT1G01471	0
AT1G01480	25
AT1G01490	736
AT1G01500	65
AT1G01510	293
AT1G01520	171
AT1G01530	0
AT1G01540	1192
AT1G01550	1604
AT1G01560	0
AT1G01570	39
AT1G01580	10
AT1G01590	0
AT1G01600	23
AT1G01610	1130
AT1G01620	9852
AT1G01630	678
AT1G01640	44
AT1G01650	258
AT1G01660	26
AT1G01670	15
AT1G01680	0
AT1G01690	21
AT1G01695	1
AT1G01700	8
AT1G01710	314
AT1G01720	464
AT1G01725	28
AT1G01730	167
AT1G01740	59
AT1G01750	73
AT1G01760	38
AT1G01770	225
AT1G01780	288
AT1G01790	2029
AT1G01800	475
AT1G01810	0
AT1G01820	452
AT1G01830	136
AT1G01840	5
AT1G01860	59
AT1G01870	0
AT1G01880	25
AT1G01890	0
AT1G01900	63
AT1G01910	314
AT1G01920	128
AT1G01930	127
AT1G01940	56
AT1G01950	271
AT1G01960	898
AT1G01970	161
AT1G01980	0
AT1G01990	173
AT1G02000	168
AT1G02010	199
AT1G02020	162
AT1G02030	13
AT1G02040	1
AT1G02050	78
AT1G02060	61
AT1G02065	2
AT1G02070	0
AT1G02074	2
AT1G02080	1259
AT1G02090	300
AT1G02100	430
AT1G02110	231
AT1G02120	1013
AT1G02130	305
AT1G02140	502
AT1G02145	129
AT1G02150	566
AT1G02160	65
AT1G02170	303
AT1G02180	23
AT1G02190	2
AT1G02205	123
AT1G02210	0
AT1G02220	72
AT1G02230	1
AT1G02250	0
AT1G02260	122
AT1G02270	95
AT1G02280	417
AT1G02290	88
AT1G02300	106
AT1G02305	866
AT1G02310	2
AT1G02320	0
AT1G02330	214
AT1G02335	164
AT1G02340	279
AT1G02350	13
AT1G02360	360
AT1G02370	37
AT1G02380	24
AT1G02390	10
AT1G02391	0
AT1G02400	66
AT1G02405	5
AT1G02410	148
AT1G02420	18
AT1G02430	9
AT1G02440	0
AT1G02450	0
AT1G02460	7
AT1G02470	6
AT1G02475	259
AT1G02480	0
AT1G02490	0
AT1G02500	3932
AT1G02510	0
AT1G02520	39
AT1G02530	3
AT1G02540	0
AT1G02550	0
AT1G02560	1219
AT1G02570	3
AT1G02575	4
AT1G02580	4
AT1G02590	0
AT1G02600	0
AT1G02610	83
AT1G02620	5
AT1G02630	2
AT1G02640	589
AT1G02650	27
AT1G02660	342
AT1G02670	16
AT1G02680	64
AT1G02690	75
AT1G02700	10
AT1G02710	14
AT1G02720	66
AT1G02730	223
AT1G02740	69
AT1G02750	84
AT1G02760	0
AT1G02770	9
AT1G02780	2301
AT1G02790	0
AT1G02800	5
AT1G02810	84
AT1G02813	1
AT1G02816	109
AT1G02820	103
AT1G02830	0
AT1G02840	1151
AT1G02850	98
AT1G02860	348
AT1G02870	69
AT1G02880	243
AT1G02890	1316
AT1G02900	484
AT1G02910	396
AT1G02920	41
AT1G02930	68
AT1G02940	1
AT1G02950	49
AT1G02952	0
AT1G02960	154
AT1G02965	0
AT1G02970	10
AT1G02980	1
AT1G02990	223
AT1G03000	336
AT1G03010	10
AT1G03020	0
AT1G03022	0
AT1G03030	102
AT1G03040	281
AT1G03050	1
AT1G03055	41
AT1G03060	697
AT1G03070	17
AT1G03080	1341
AT1G03090	3263
AT1G03100	21
AT1G03103	0
AT1G03106	1
AT1G03110	56
AT1G03120	6
AT1G03130	4626
AT1G03140	413
AT1G03150	111
AT1G03160	343
AT1G03170	2
AT1G03180	18
AT1G03190	110
AT1G03200	0
AT1G03210	159
AT1G03220	5144
AT1G03230	184
AT1G03240	0
AT1G03250	227
AT1G03260	60
AT1G03270	28
AT1G03280	505
AT1G03290	220
AT1G03300	73
AT1G03310	165
AT1G03320	0
AT1G03330	158
AT1G03340	20
AT1G03350	463
AT1G03360	42
AT1G03365	184
AT1G03370	398
AT1G03380	883
AT1G03390	1
AT1G03400	256
AT1G03410	386
AT1G03430	118
AT1G03440	254
AT1G03445	20
AT1G03457	286
AT1G03470	80
AT1G03475	823
AT1G03490	0
AT1G03495	105
AT1G03502	0
AT1G03506	4
AT1G03510	4
AT1G03515	0
AT1G03520	154
AT1G03530	102
AT1G03540	21
AT1G03545	0
AT1G03550	61
AT1G03560	123
AT1G03570	0
AT1G03590	778
AT1G03600	2825
AT1G03610	379
AT1G03620	12
AT1G03630	780
AT1G03640	0
AT1G03650	16
AT1G03660	9
AT1G03670	0
AT1G03680	1279
AT1G03687	71
AT1G03700	24
AT1G03710	0
AT1G03720	0
AT1G03730	67
AT1G03740	408
AT1G03743	0
AT1G03746	0
AT1G03750	57
AT1G03760	68
AT1G03770	61
AT1G03780	47
AT1G03790	72
AT1G03800	11
AT1G03810	0
AT1G03820	23
AT1G03830	70
AT1G03840	7
AT1G03850	387
AT1G03860	315
AT1G03870	2899
AT1G03880	0
AT1G03890	0
AT1G03900	823
AT1G03905	68
AT1G03910	449
AT1G03920	81
AT1G03930	452
AT1G03935	5
AT1G03940	73
AT1G03950	150
AT1G03960	96
AT1G03970	37
AT1G03980	3
AT1G03982	0
AT1G03990	73
AT1G04000	161
AT1G04010	90
AT1G04020	36
AT1G04030	79
AT1G04040	537
AT1G04050	43
AT1G04070	26
AT1G04080	931
AT1G04090	19
AT1G04100	61
AT1G04110	41
AT1G04120	693
AT1G04130	60
AT1G04140	1038
AT1G04150	3
AT1G04160	134
AT1G04170	586
AT1G04171	0
AT1G04180	21
AT1G04190	173
AT1G04200	221
AT1G04210	620
AT1G04220	460
AT1G04230	92
AT1G04240	733
AT1G04250	1302
AT1G04260	111
AT1G04270	1064
AT1G04280	1078
AT1G04290	17
AT1G04295	0
AT1G04300	1066
AT1G04310	176
AT1G04320	0
AT1G04330	1
AT1G04340	118
AT1G04350	593
AT1G04360	45
AT1G04370	0
AT1G04380	1
AT1G04390	135
AT1G04400	1471
AT1G04410	7285
AT1G04420	476
AT1G04425	6
AT1G04430	1390
AT1G04440	918
AT1G04445	2
AT1G04450	0
AT1G04470	0
AT1G04480	356
AT1G04490	3
AT1G04500	0
AT1G04501	0
AT1G04510	327
AT1G04520	77
AT1G04530	590
AT1G04540	47
AT1G04550	235
AT1G04555	31
AT1G04560	1
AT1G04570	4
AT1G04580	0
AT1G04590	140
AT1G04600	0
AT1G04610	35
AT1G04620	96
AT1G04625	0
AT1G04630	180
AT1G04635	8
AT1G04640	106
AT1G04645	0
AT1G04650	17
AT1G04660	254
AT1G04670	0
AT1G04680	610
AT1G04684	0
AT1G04690	385
AT1G04700	56
AT1G04710	153
AT1G04720	0
AT1G04730	26
AT1G04750	458
AT1G04760	15
AT1G04770	45
AT1G04778	10
AT1G04780	464
AT1G04790	213
AT1G04800	1488
AT1G04810	682
AT1G04820	3223
AT1G04830	236
AT1G04840	8
AT1G04850	730
AT1G04860	450
AT1G04870	90
AT1G04880	30
AT1G04890	0
AT1G04900	50
AT1G04910	249
AT1G04920	16
AT1G04930	32
AT1G04940	2
AT1G04945	46
AT1G04950	206
AT1G04960	264
AT1G04970	363
AT1G04980	87
AT1G04985	272
AT1G04990	246
AT1G05000	128
AT1G05010	6240
AT1G05020	124
AT1G05030	155
AT1G05040	0
AT1G05055	79
AT1G05060	136
AT1G05065	15
AT1G05070	222
AT1G05080	0
AT1G05085	0
AT1G05090	28
AT1G05100	25
AT1G05120	268
AT1G05136	0
AT1G05140	414
AT1G05150	540
AT1G05160	101
AT1G05170	143
AT1G05180	243
AT1G05190	2716
AT1G05200	246
AT1G05205	81
AT1G05210	9
AT1G05220	7
AT1G05230	528
AT1G05240	0
AT1G05250	151
AT1G05260	718
AT1G05270	289
AT1G05280	2
AT1G05290	0
AT1G05291	0
AT1G05300	58
AT1G05310	54
AT1G05320	462
AT1G05330	7
AT1G05340	612
AT1G05350	186
AT1G05360	129
AT1G05370	6
AT1G05380	463
AT1G05385	151
AT1G05390	0
AT1G05400	16
AT1G05410	89
AT1G05420	3
AT1G05430	231
AT1G05440	4
AT1G05450	15
AT1G05460	75
AT1G05470	258
AT1G05490	6
AT1G05500	449
AT1G05510	2
AT1G05520	307
AT1G05530	2
AT1G05540	26
AT1G05550	0
AT1G05560	19
AT1G05562	0
AT1G05570	1510
AT1G05575	19
AT1G05577	0
AT1G05580	0
AT1G05590	134
AT1G05600	69
AT1G05610	4
AT1G05615	0
AT1G05620	135
AT1G05630	201
AT1G05640	22
AT1G05650	0
AT1G05660	10
AT1G05670	76
AT1G05675	9
AT1G05680	17
AT1G05690	43
AT1G05700	20
AT1G05710	117
AT1G05720	95
AT1G05730	6
AT1G05740	0
AT1G05750	27
AT1G05760	0
AT1G05770	13
AT1G05780	39
AT1G05785	47
AT1G05790	282
AT1G05800	0
AT1G05805	304
AT1G05810	257
AT1G05820	53
AT1G05830	614
AT1G05835	40
AT1G05840	350
AT1G05850	7473
AT1G05860	106
AT1G05870	816
AT1G05880	0
AT1G05890	867
AT1G05894	2
AT1G05900	234
AT1G05910	215
AT1G05920	0
AT1G05925	0
AT1G05930	0
AT1G05940	351
AT1G05950	38
AT1G05960	998
AT1G05970	42
AT1G05980	0
AT1G05990	5
AT1G06000	619
AT1G06002	0
AT1G06010	44
AT1G06020	9
AT1G06030	1
AT1G06040	2907
AT1G06050	77
AT1G06060	248
AT1G06070	147
AT1G06080	21
AT1G06090	70
AT1G06100	3
AT1G06110	511
AT1G06120	11
AT1G06130	167
AT1G06135	0
AT1G06137	0
AT1G06140	9
AT1G06148	1
AT1G06149	0
AT1G06150	8
AT1G06160	0
AT1G06170	11
AT1G06180	108
AT1G06190	326
AT1G06200	356
AT1G06210	218
AT1G06220	501
AT1G06225	0
AT1G06230	793
AT1G06240	99
AT1G06250	38
AT1G06260	0
AT1G06265	23
AT1G06270	18
AT1G06280	0
AT1G06290	576
AT1G06310	0
AT1G06320	2
AT1G06330	0
AT1G06340	6
AT1G06350	11
AT1G06360	276
AT1G06380	60
AT1G06390	583
AT1G06400	545
AT1G06410	1892
AT1G06420	1
AT1G06430	2393
AT1G06440	11
AT1G06450	22
AT1G06460	388
AT1G06470	155
AT1G06475	5
AT1G06480	0
AT1G06490	64
AT1G06500	80
AT1G06510	100
AT1G06515	60
AT1G06520	15
AT1G06530	394
AT1G06540	13
AT1G06550	1188
AT1G06560	121
AT1G06570	1636
AT1G06580	27
AT1G06590	74
AT1G06610	0
AT1G06620	137
AT1G06630	167
AT1G06640	2436
AT1G06645	124
AT1G06650	539
AT1G06660	10
AT1G06670	395
AT1G06680	24688
AT1G06690	1074
AT1G06700	1058
AT1G06710	49
AT1G06720	199
AT1G06730	143
AT1G06750	21
AT1G06760	1199
AT1G06770	73
AT1G06780	121
AT1G06790	42
AT1G06800	141
AT1G06810	1
AT1G06820	368
AT1G06830	26
AT1G06840	355
AT1G06850	87
AT1G06860	0
AT1G06870	213
AT1G06880	0
AT1G06890	343
AT1G06900	466
AT1G06910	47
AT1G06920	0
AT1G06923	14
AT1G06925	0
AT1G06930	0
AT1G06950	1474
AT1G06960	88
AT1G06970	2
AT1G06980	126
AT1G06990	0
AT1G07000	175
AT1G07010	847
AT1G07020	81
AT1G07025	0
AT1G07030	143
AT1G07040	340
AT1G07050	31
AT1G07051	0
AT1G07060	0
AT1G07070	42
AT1G07080	691
AT1G07090	56
AT1G07100	0
AT1G07110	1969
AT1G07119	0
AT1G07120	3
AT1G07128	0
AT1G07130	3
AT1G07135	32
AT1G07140	955
AT1G07150	242
AT1G07160	7
AT1G07170	97
AT1G07175	0
AT1G07180	820
AT1G07190	0
AT1G07200	719
AT1G07210	151
AT1G07220	83
AT1G07230	428
AT1G07240	316
AT1G07250	543
AT1G07260	36
AT1G07270	2
AT1G07280	228
AT1G07290	8
AT1G07300	20
AT1G07310	456
AT1G07320	1744
AT1G07330	9
AT1G07340	0
AT1G07350	468
AT1G07360	361
AT1G07370	38
AT1G07380	128
AT1G07390	21
AT1G07400	0
AT1G07410	18
AT1G07420	307
AT1G07430	9
AT1G07440	149
AT1G07450	12
AT1G07460	0
AT1G07470	202
AT1G07473	0
AT1G07476	0
AT1G07480	263
AT1G07485	0
AT1G07490	0
AT1G07500	21
AT1G07510	686
AT1G07520	90
AT1G07530	331
AT1G07540	2
AT1G07550	13
AT1G07560	55
AT1G07570	546
AT1G07580	0
AT1G07590	4550
