Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200659.sam
AT1G01010	80
AT1G01020	57
AT1G01030	27
AT1G01040	510
AT1G01046	4
AT1G01050	347
AT1G01060	2420
AT1G01070	59
AT1G01073	0
AT1G01080	206
AT1G01090	1584
AT1G01100	630
AT1G01110	34
AT1G01115	0
AT1G01120	1966
AT1G01130	17
AT1G01140	464
AT1G01150	0
AT1G01160	166
AT1G01170	205
AT1G01180	263
AT1G01183	0
AT1G01190	13
AT1G01200	28
AT1G01210	36
AT1G01220	153
AT1G01225	17
AT1G01230	174
AT1G01240	191
AT1G01250	1
AT1G01260	122
AT1G01270	0
AT1G01280	0
AT1G01290	89
AT1G01300	433
AT1G01305	0
AT1G01310	1
AT1G01320	1695
AT1G01340	61
AT1G01350	140
AT1G01355	0
AT1G01360	96
AT1G01370	19
AT1G01380	28
AT1G01390	28
AT1G01400	0
AT1G01410	0
AT1G01420	32
AT1G01430	1115
AT1G01440	257
AT1G01448	105
AT1G01450	0
AT1G01453	24
AT1G01460	0
AT1G01470	238
AT1G01471	0
AT1G01480	20
AT1G01490	421
AT1G01500	50
AT1G01510	276
AT1G01520	6
AT1G01530	0
AT1G01540	889
AT1G01550	1250
AT1G01560	0
AT1G01570	16
AT1G01580	13
AT1G01590	0
AT1G01600	19
AT1G01610	721
AT1G01620	9937
AT1G01630	410
AT1G01640	60
AT1G01650	207
AT1G01660	27
AT1G01670	6
AT1G01680	0
AT1G01690	16
AT1G01695	1
AT1G01700	5
AT1G01710	229
AT1G01720	182
AT1G01725	31
AT1G01730	210
AT1G01740	38
AT1G01750	95
AT1G01760	22
AT1G01770	206
AT1G01780	194
AT1G01790	851
AT1G01800	290
AT1G01810	2
AT1G01820	373
AT1G01830	105
AT1G01840	4
AT1G01860	48
AT1G01870	0
AT1G01880	10
AT1G01890	0
AT1G01900	44
AT1G01910	264
AT1G01920	106
AT1G01930	95
AT1G01940	35
AT1G01950	237
AT1G01960	875
AT1G01970	93
AT1G01980	0
AT1G01990	149
AT1G02000	131
AT1G02010	130
AT1G02020	108
AT1G02030	6
AT1G02040	0
AT1G02050	64
AT1G02060	61
AT1G02065	2
AT1G02070	0
AT1G02074	0
AT1G02080	1006
AT1G02090	170
AT1G02100	440
AT1G02110	309
AT1G02120	789
AT1G02130	211
AT1G02140	358
AT1G02145	120
AT1G02150	458
AT1G02160	53
AT1G02170	234
AT1G02180	24
AT1G02190	2
AT1G02205	82
AT1G02210	0
AT1G02220	28
AT1G02230	2
AT1G02250	0
AT1G02260	157
AT1G02270	73
AT1G02280	414
AT1G02290	59
AT1G02300	125
AT1G02305	821
AT1G02310	5
AT1G02320	0
AT1G02330	161
AT1G02335	163
AT1G02340	100
AT1G02350	8
AT1G02360	272
AT1G02370	19
AT1G02380	18
AT1G02390	8
AT1G02391	0
AT1G02400	69
AT1G02405	2
AT1G02410	104
AT1G02420	23
AT1G02430	9
AT1G02440	0
AT1G02450	1
AT1G02460	5
AT1G02470	1
AT1G02475	133
AT1G02480	0
AT1G02490	1
AT1G02500	4220
AT1G02510	0
AT1G02520	44
AT1G02530	0
AT1G02540	0
AT1G02550	0
AT1G02560	691
AT1G02570	29
AT1G02575	12
AT1G02580	4
AT1G02590	0
AT1G02600	0
AT1G02610	34
AT1G02620	5
AT1G02630	1
AT1G02640	692
AT1G02650	24
AT1G02660	231
AT1G02670	20
AT1G02680	47
AT1G02690	99
AT1G02700	7
AT1G02710	11
AT1G02720	65
AT1G02730	291
AT1G02740	68
AT1G02750	60
AT1G02760	0
AT1G02770	5
AT1G02780	1975
AT1G02790	0
AT1G02800	6
AT1G02810	62
AT1G02813	0
AT1G02816	94
AT1G02820	17
AT1G02830	0
AT1G02840	1281
AT1G02850	62
AT1G02860	288
AT1G02870	50
AT1G02880	137
AT1G02890	1145
AT1G02900	345
AT1G02910	262
AT1G02920	122
AT1G02930	89
AT1G02940	2
AT1G02950	34
AT1G02952	0
AT1G02960	163
AT1G02965	0
AT1G02970	10
AT1G02980	0
AT1G02990	174
AT1G03000	234
AT1G03010	7
AT1G03020	0
AT1G03022	0
AT1G03030	82
AT1G03040	208
AT1G03050	0
AT1G03055	11
AT1G03060	641
AT1G03070	14
AT1G03080	1269
AT1G03090	2242
AT1G03100	11
AT1G03103	0
AT1G03106	0
AT1G03110	51
AT1G03120	4
AT1G03130	2673
AT1G03140	398
AT1G03150	75
AT1G03160	270
AT1G03170	7
AT1G03180	19
AT1G03190	99
AT1G03200	3
AT1G03210	233
AT1G03220	2988
AT1G03230	226
AT1G03240	0
AT1G03250	146
AT1G03260	85
AT1G03270	17
AT1G03280	296
AT1G03290	214
AT1G03300	64
AT1G03310	167
AT1G03320	0
AT1G03330	114
AT1G03340	13
AT1G03350	322
AT1G03360	33
AT1G03365	124
AT1G03370	366
AT1G03380	648
AT1G03390	2
AT1G03400	98
AT1G03410	311
AT1G03430	83
AT1G03440	132
AT1G03445	8
AT1G03457	264
AT1G03470	94
AT1G03475	773
AT1G03490	0
AT1G03495	76
AT1G03502	1
AT1G03506	1
AT1G03510	4
AT1G03515	0
AT1G03520	92
AT1G03530	63
AT1G03540	10
AT1G03545	0
AT1G03550	59
AT1G03560	70
AT1G03570	0
AT1G03590	528
AT1G03600	1499
AT1G03610	296
AT1G03620	18
AT1G03630	426
AT1G03640	0
AT1G03650	11
AT1G03660	14
AT1G03670	0
AT1G03680	551
AT1G03687	56
AT1G03700	6
AT1G03710	0
AT1G03720	0
AT1G03730	62
AT1G03740	380
AT1G03743	0
AT1G03746	0
AT1G03750	64
AT1G03760	43
AT1G03770	53
AT1G03780	65
AT1G03790	83
AT1G03800	9
AT1G03810	0
AT1G03820	26
AT1G03830	53
AT1G03840	13
AT1G03850	300
AT1G03860	256
AT1G03870	3405
AT1G03880	0
AT1G03890	0
AT1G03900	690
AT1G03905	26
AT1G03910	351
AT1G03920	112
AT1G03930	325
AT1G03935	3
AT1G03940	37
AT1G03950	91
AT1G03960	66
AT1G03970	40
AT1G03980	2
AT1G03982	0
AT1G03990	44
AT1G04000	102
AT1G04010	86
AT1G04020	30
AT1G04030	71
AT1G04040	920
AT1G04050	39
AT1G04070	20
AT1G04080	725
AT1G04090	7
AT1G04100	30
AT1G04110	40
AT1G04120	700
AT1G04130	49
AT1G04140	945
AT1G04150	1
AT1G04160	120
AT1G04170	540
AT1G04171	0
AT1G04180	8
AT1G04190	137
AT1G04200	202
AT1G04210	407
AT1G04220	149
AT1G04230	63
AT1G04240	644
AT1G04250	948
AT1G04260	95
AT1G04270	895
AT1G04280	750
AT1G04290	8
AT1G04295	0
AT1G04300	847
AT1G04310	110
AT1G04320	0
AT1G04330	2
AT1G04340	94
AT1G04350	237
AT1G04360	30
AT1G04370	0
AT1G04380	2
AT1G04390	83
AT1G04400	1111
AT1G04410	5807
AT1G04420	348
AT1G04425	10
AT1G04430	1032
AT1G04440	784
AT1G04445	6
AT1G04450	0
AT1G04470	0
AT1G04480	332
AT1G04490	4
AT1G04500	0
AT1G04501	0
AT1G04510	264
AT1G04520	53
AT1G04530	312
AT1G04540	40
AT1G04550	145
AT1G04555	31
AT1G04560	0
AT1G04570	4
AT1G04580	2
AT1G04590	93
AT1G04600	3
AT1G04610	17
AT1G04620	113
AT1G04625	0
AT1G04630	152
AT1G04635	5
AT1G04640	73
AT1G04645	0
AT1G04650	7
AT1G04660	390
AT1G04670	1
AT1G04680	875
AT1G04684	0
AT1G04690	361
AT1G04700	49
AT1G04710	88
AT1G04720	0
AT1G04730	30
AT1G04750	439
AT1G04760	8
AT1G04770	70
AT1G04778	4
AT1G04780	327
AT1G04790	163
AT1G04800	1366
AT1G04810	519
AT1G04820	3621
AT1G04830	182
AT1G04840	6
AT1G04850	526
AT1G04860	256
AT1G04870	115
AT1G04880	4
AT1G04890	0
AT1G04900	40
AT1G04910	223
AT1G04920	15
AT1G04930	28
AT1G04940	1
AT1G04945	18
AT1G04950	166
AT1G04960	166
AT1G04970	331
AT1G04980	84
AT1G04985	179
AT1G04990	171
AT1G05000	73
AT1G05010	4485
AT1G05020	60
AT1G05030	91
AT1G05040	0
AT1G05055	58
AT1G05060	97
AT1G05065	8
AT1G05070	98
AT1G05080	0
AT1G05085	0
AT1G05090	34
AT1G05100	7
AT1G05120	205
AT1G05136	0
AT1G05140	253
AT1G05150	423
AT1G05160	83
AT1G05170	101
AT1G05180	205
AT1G05190	1451
AT1G05200	222
AT1G05205	70
AT1G05210	26
AT1G05220	11
AT1G05230	324
AT1G05240	2
AT1G05250	167
AT1G05260	953
AT1G05270	241
AT1G05280	5
AT1G05290	0
AT1G05291	0
AT1G05300	63
AT1G05310	38
AT1G05320	421
AT1G05330	1
AT1G05340	76
AT1G05350	189
AT1G05360	100
AT1G05370	9
AT1G05380	433
AT1G05385	108
AT1G05390	0
AT1G05400	15
AT1G05410	104
AT1G05420	19
AT1G05430	165
AT1G05440	5
AT1G05450	0
AT1G05460	72
AT1G05470	176
AT1G05490	5
AT1G05500	357
AT1G05510	1
AT1G05520	299
AT1G05530	7
AT1G05540	8
AT1G05550	1
AT1G05560	10
AT1G05562	0
AT1G05570	1922
AT1G05575	13
AT1G05577	0
AT1G05580	0
AT1G05590	136
AT1G05600	53
AT1G05610	5
AT1G05615	0
AT1G05620	146
AT1G05630	168
AT1G05640	19
AT1G05650	15
AT1G05660	38
AT1G05670	60
AT1G05675	1
AT1G05680	19
AT1G05690	31
AT1G05700	24
AT1G05710	90
AT1G05720	79
AT1G05730	3
AT1G05740	0
AT1G05750	29
AT1G05760	0
AT1G05770	19
AT1G05780	38
AT1G05785	53
AT1G05790	269
AT1G05800	0
AT1G05805	241
AT1G05810	252
AT1G05820	31
AT1G05830	594
AT1G05835	28
AT1G05840	316
AT1G05850	4592
AT1G05860	79
AT1G05870	274
AT1G05880	0
AT1G05890	906
AT1G05894	6
AT1G05900	108
AT1G05910	156
AT1G05920	0
AT1G05925	0
AT1G05930	0
AT1G05940	255
AT1G05950	54
AT1G05960	1043
AT1G05970	33
AT1G05980	0
AT1G05990	6
AT1G06000	65
AT1G06002	0
AT1G06010	38
AT1G06020	1
AT1G06030	2
AT1G06040	1082
AT1G06050	44
AT1G06060	172
AT1G06070	126
AT1G06080	32
AT1G06090	177
AT1G06100	0
AT1G06110	437
AT1G06120	28
AT1G06130	117
AT1G06135	0
AT1G06137	0
AT1G06140	2
AT1G06148	1
AT1G06149	0
AT1G06150	14
AT1G06160	8
AT1G06170	0
AT1G06180	11
AT1G06190	173
AT1G06200	237
AT1G06210	182
AT1G06220	356
AT1G06225	1
AT1G06230	489
AT1G06240	71
AT1G06250	28
AT1G06260	0
AT1G06265	29
AT1G06270	12
AT1G06280	0
AT1G06290	508
AT1G06310	2
AT1G06320	1
AT1G06330	0
AT1G06340	2
AT1G06350	46
AT1G06360	426
AT1G06380	32
AT1G06390	571
AT1G06400	452
AT1G06410	1321
AT1G06420	7
AT1G06430	649
AT1G06440	6
AT1G06450	34
AT1G06460	140
AT1G06470	115
AT1G06475	7
AT1G06480	0
AT1G06490	55
AT1G06500	50
AT1G06510	91
AT1G06515	76
AT1G06520	19
AT1G06530	285
AT1G06540	2
AT1G06550	333
AT1G06560	76
AT1G06570	884
AT1G06580	22
AT1G06590	65
AT1G06610	0
AT1G06620	216
AT1G06630	163
AT1G06640	1636
AT1G06645	133
AT1G06650	230
AT1G06660	12
AT1G06670	340
AT1G06680	12877
AT1G06690	184
AT1G06700	1055
AT1G06710	29
AT1G06720	195
AT1G06730	84
AT1G06750	9
AT1G06760	869
AT1G06770	57
AT1G06780	117
AT1G06790	27
AT1G06800	114
AT1G06810	1
AT1G06820	207
AT1G06830	19
AT1G06840	362
AT1G06850	109
AT1G06860	0
AT1G06870	117
AT1G06880	0
AT1G06890	349
AT1G06900	556
AT1G06910	50
AT1G06920	0
AT1G06923	13
AT1G06925	0
AT1G06930	3
AT1G06950	945
AT1G06960	75
AT1G06970	1
AT1G06980	82
AT1G06990	0
AT1G07000	225
AT1G07010	326
AT1G07020	60
AT1G07025	0
AT1G07030	97
AT1G07040	325
AT1G07050	7
AT1G07051	0
AT1G07060	1
AT1G07070	46
AT1G07080	448
AT1G07090	92
AT1G07100	0
AT1G07110	931
AT1G07119	2
AT1G07120	5
AT1G07128	1
AT1G07130	0
AT1G07135	9
AT1G07140	847
AT1G07150	59
AT1G07160	4
AT1G07170	92
AT1G07175	2
