Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200690.sam
AT1G01010	139
AT1G01020	62
AT1G01030	10
AT1G01040	742
AT1G01046	3
AT1G01050	428
AT1G01060	2113
AT1G01070	53
AT1G01073	0
AT1G01080	283
AT1G01090	2027
AT1G01100	621
AT1G01110	65
AT1G01115	0
AT1G01120	2612
AT1G01130	17
AT1G01140	625
AT1G01150	0
AT1G01160	237
AT1G01170	207
AT1G01180	267
AT1G01183	0
AT1G01190	3
AT1G01200	35
AT1G01210	45
AT1G01220	243
AT1G01225	23
AT1G01230	237
AT1G01240	217
AT1G01250	1
AT1G01260	202
AT1G01270	0
AT1G01280	0
AT1G01290	102
AT1G01300	475
AT1G01305	0
AT1G01310	0
AT1G01320	2018
AT1G01340	88
AT1G01350	168
AT1G01355	0
AT1G01360	131
AT1G01370	14
AT1G01380	28
AT1G01390	116
AT1G01400	0
AT1G01410	0
AT1G01420	49
AT1G01430	1046
AT1G01440	312
AT1G01448	266
AT1G01450	0
AT1G01453	33
AT1G01460	1
AT1G01470	359
AT1G01471	0
AT1G01480	35
AT1G01490	695
AT1G01500	99
AT1G01510	329
AT1G01520	24
AT1G01530	0
AT1G01540	1019
AT1G01550	1886
AT1G01560	2
AT1G01570	31
AT1G01580	4
AT1G01590	0
AT1G01600	46
AT1G01610	880
AT1G01620	9929
AT1G01630	412
AT1G01640	86
AT1G01650	281
AT1G01660	29
AT1G01670	7
AT1G01680	1
AT1G01690	42
AT1G01695	4
AT1G01700	2
AT1G01710	330
AT1G01720	636
AT1G01725	40
AT1G01730	254
AT1G01740	55
AT1G01750	113
AT1G01760	37
AT1G01770	306
AT1G01780	293
AT1G01790	1415
AT1G01800	373
AT1G01810	2
AT1G01820	504
AT1G01830	167
AT1G01840	2
AT1G01860	87
AT1G01870	0
AT1G01880	17
AT1G01890	0
AT1G01900	49
AT1G01910	320
AT1G01920	133
AT1G01930	131
AT1G01940	53
AT1G01950	322
AT1G01960	1246
AT1G01970	137
AT1G01980	1
AT1G01990	134
AT1G02000	205
AT1G02010	167
AT1G02020	140
AT1G02030	12
AT1G02040	0
AT1G02050	68
AT1G02060	52
AT1G02065	0
AT1G02070	1
AT1G02074	0
AT1G02080	1708
AT1G02090	246
AT1G02100	526
AT1G02110	227
AT1G02120	1009
AT1G02130	300
AT1G02140	459
AT1G02145	168
AT1G02150	468
AT1G02160	81
AT1G02170	322
AT1G02180	26
AT1G02190	0
AT1G02205	139
AT1G02210	0
AT1G02220	56
AT1G02230	5
AT1G02250	0
AT1G02260	172
AT1G02270	138
AT1G02280	301
AT1G02290	94
AT1G02300	135
AT1G02305	899
AT1G02310	7
AT1G02320	0
AT1G02330	191
AT1G02335	111
AT1G02340	191
AT1G02350	8
AT1G02360	341
AT1G02370	35
AT1G02380	26
AT1G02390	6
AT1G02391	0
AT1G02400	129
AT1G02405	2
AT1G02410	103
AT1G02420	23
AT1G02430	4
AT1G02440	0
AT1G02450	0
AT1G02460	11
AT1G02470	7
AT1G02475	203
AT1G02480	0
AT1G02490	0
AT1G02500	5039
AT1G02510	0
AT1G02520	121
AT1G02530	1
AT1G02540	0
AT1G02550	0
AT1G02560	815
AT1G02570	24
AT1G02575	2
AT1G02580	5
AT1G02590	0
AT1G02600	0
AT1G02610	42
AT1G02620	1
AT1G02630	3
AT1G02640	523
AT1G02650	18
AT1G02660	451
AT1G02670	34
AT1G02680	74
AT1G02690	116
AT1G02700	9
AT1G02710	0
AT1G02720	71
AT1G02730	328
AT1G02740	112
AT1G02750	69
AT1G02760	0
AT1G02770	17
AT1G02780	2465
AT1G02790	0
AT1G02800	26
AT1G02810	229
AT1G02813	2
AT1G02816	137
AT1G02820	7
AT1G02830	0
AT1G02840	1353
AT1G02850	333
AT1G02860	320
AT1G02870	76
AT1G02880	201
AT1G02890	1480
AT1G02900	433
AT1G02910	303
AT1G02920	378
AT1G02930	208
AT1G02940	1
AT1G02950	43
AT1G02952	0
AT1G02960	186
AT1G02965	0
AT1G02970	12
AT1G02980	1
AT1G02990	229
AT1G03000	304
AT1G03010	17
AT1G03020	0
AT1G03022	0
AT1G03030	119
AT1G03040	323
AT1G03050	0
AT1G03055	17
AT1G03060	964
AT1G03070	7
AT1G03080	1751
AT1G03090	2831
AT1G03100	7
AT1G03103	0
AT1G03106	1
AT1G03110	86
AT1G03120	4
AT1G03130	2972
AT1G03140	455
AT1G03150	97
AT1G03160	340
AT1G03170	11
AT1G03180	20
AT1G03190	149
AT1G03200	0
AT1G03210	270
AT1G03220	4340
AT1G03230	261
AT1G03240	0
AT1G03250	193
AT1G03260	104
AT1G03270	14
AT1G03280	411
AT1G03290	269
AT1G03300	70
AT1G03310	214
AT1G03320	2
AT1G03330	136
AT1G03340	27
AT1G03350	488
AT1G03360	53
AT1G03365	212
AT1G03370	497
AT1G03380	879
AT1G03390	0
AT1G03400	113
AT1G03410	250
AT1G03430	126
AT1G03440	98
AT1G03445	8
AT1G03457	178
AT1G03470	60
AT1G03475	842
AT1G03490	0
AT1G03495	2
AT1G03502	0
AT1G03506	2
AT1G03510	5
AT1G03515	0
AT1G03520	174
AT1G03530	125
AT1G03540	22
AT1G03545	11
AT1G03550	193
AT1G03560	91
AT1G03570	0
AT1G03590	530
AT1G03600	1597
AT1G03610	342
AT1G03620	22
AT1G03630	633
AT1G03640	0
AT1G03650	17
AT1G03660	12
AT1G03670	0
AT1G03680	751
AT1G03687	77
AT1G03700	29
AT1G03710	2
AT1G03720	0
AT1G03730	48
AT1G03740	614
AT1G03743	0
AT1G03746	0
AT1G03750	70
AT1G03760	79
AT1G03770	55
AT1G03780	101
AT1G03790	120
AT1G03800	11
AT1G03810	0
AT1G03820	49
AT1G03830	90
AT1G03840	18
AT1G03850	368
AT1G03860	365
AT1G03870	3816
AT1G03880	23
AT1G03890	2
AT1G03900	898
AT1G03905	60
AT1G03910	487
AT1G03920	91
AT1G03930	417
AT1G03935	5
AT1G03940	3
AT1G03950	125
AT1G03960	89
AT1G03970	170
AT1G03980	4
AT1G03982	0
AT1G03990	2
AT1G04000	149
AT1G04010	87
AT1G04020	64
AT1G04030	124
AT1G04040	1243
AT1G04050	55
AT1G04070	31
AT1G04080	978
AT1G04090	15
