Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200667.sam
AT1G01010	78
AT1G01020	45
AT1G01030	20
AT1G01040	529
AT1G01046	1
AT1G01050	432
AT1G01060	3339
AT1G01070	29
AT1G01073	0
AT1G01080	380
AT1G01090	1953
AT1G01100	599
AT1G01110	19
AT1G01115	0
AT1G01120	2086
AT1G01130	14
AT1G01140	484
AT1G01150	1
AT1G01160	222
AT1G01170	288
AT1G01180	230
AT1G01183	0
AT1G01190	3
AT1G01200	17
AT1G01210	41
AT1G01220	185
AT1G01225	29
AT1G01230	170
AT1G01240	136
AT1G01250	2
AT1G01260	114
AT1G01270	0
AT1G01280	0
AT1G01290	93
AT1G01300	338
AT1G01305	0
AT1G01310	0
AT1G01320	2991
AT1G01340	61
AT1G01350	149
AT1G01355	1
AT1G01360	95
AT1G01370	11
AT1G01380	22
AT1G01390	51
AT1G01400	0
AT1G01410	0
AT1G01420	75
AT1G01430	1356
AT1G01440	226
AT1G01448	171
AT1G01450	0
AT1G01453	36
AT1G01460	0
AT1G01470	478
AT1G01471	0
AT1G01480	25
AT1G01490	582
AT1G01500	60
AT1G01510	250
AT1G01520	169
AT1G01530	0
AT1G01540	1155
AT1G01550	1268
AT1G01560	0
AT1G01570	31
AT1G01580	4
AT1G01590	2
AT1G01600	16
AT1G01610	888
AT1G01620	7946
AT1G01630	489
AT1G01640	41
AT1G01650	265
AT1G01660	25
AT1G01670	3
AT1G01680	1
AT1G01690	25
AT1G01695	1
AT1G01700	4
AT1G01710	282
AT1G01720	283
AT1G01725	32
AT1G01730	159
AT1G01740	38
AT1G01750	105
AT1G01760	34
AT1G01770	201
AT1G01780	196
AT1G01790	2014
AT1G01800	394
AT1G01810	2
AT1G01820	357
AT1G01830	111
AT1G01840	6
AT1G01860	80
AT1G01870	0
AT1G01880	13
AT1G01890	0
AT1G01900	49
AT1G01910	317
AT1G01920	102
AT1G01930	124
AT1G01940	47
AT1G01950	280
AT1G01960	764
AT1G01970	190
AT1G01980	0
AT1G01990	153
AT1G02000	147
AT1G02010	200
AT1G02020	137
AT1G02030	8
AT1G02040	1
AT1G02050	70
AT1G02060	59
AT1G02065	7
AT1G02070	0
AT1G02074	0
AT1G02080	1186
AT1G02090	270
AT1G02100	354
AT1G02110	263
AT1G02120	862
AT1G02130	273
AT1G02140	359
AT1G02145	140
AT1G02150	569
AT1G02160	47
AT1G02170	251
AT1G02180	21
AT1G02190	0
AT1G02205	69
AT1G02210	0
AT1G02220	74
AT1G02230	2
AT1G02250	1
AT1G02260	88
AT1G02270	106
AT1G02280	468
AT1G02290	52
AT1G02300	104
AT1G02305	734
AT1G02310	10
AT1G02320	0
AT1G02330	163
AT1G02335	205
AT1G02340	169
AT1G02350	19
AT1G02360	376
AT1G02370	23
AT1G02380	26
AT1G02390	0
AT1G02391	0
AT1G02400	64
AT1G02405	0
AT1G02410	115
AT1G02420	24
AT1G02430	1
AT1G02440	1
AT1G02450	1
AT1G02460	11
AT1G02470	3
AT1G02475	240
AT1G02480	0
AT1G02490	0
AT1G02500	4349
AT1G02510	0
AT1G02520	60
AT1G02530	5
AT1G02540	0
AT1G02550	0
AT1G02560	1266
AT1G02570	6
AT1G02575	2
AT1G02580	0
AT1G02590	0
AT1G02600	0
AT1G02610	73
AT1G02620	2
AT1G02630	4
AT1G02640	835
AT1G02650	29
AT1G02660	352
AT1G02670	15
AT1G02680	54
AT1G02690	74
AT1G02700	11
AT1G02710	0
AT1G02720	71
AT1G02730	239
AT1G02740	46
AT1G02750	68
AT1G02760	0
AT1G02770	7
AT1G02780	2181
AT1G02790	0
AT1G02800	9
AT1G02810	35
AT1G02813	1
AT1G02816	112
AT1G02820	101
AT1G02830	0
AT1G02840	1124
AT1G02850	88
AT1G02860	302
AT1G02870	64
AT1G02880	194
AT1G02890	1369
AT1G02900	461
AT1G02910	427
AT1G02920	148
AT1G02930	223
AT1G02940	2
AT1G02950	119
AT1G02952	1
AT1G02960	140
AT1G02965	1
AT1G02970	12
AT1G02980	2
AT1G02990	217
AT1G03000	280
AT1G03010	8
AT1G03020	0
AT1G03022	0
AT1G03030	107
AT1G03040	262
AT1G03050	2
AT1G03055	56
AT1G03060	637
AT1G03070	7
AT1G03080	1159
AT1G03090	3028
