Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200683.sam
AT1G01010	57
AT1G01020	47
AT1G01030	10
AT1G01040	621
AT1G01046	2
AT1G01050	418
AT1G01060	1542
AT1G01070	39
AT1G01073	0
AT1G01080	215
AT1G01090	1848
AT1G01100	569
AT1G01110	58
AT1G01115	0
AT1G01120	2542
AT1G01130	14
AT1G01140	561
AT1G01150	1
AT1G01160	288
AT1G01170	228
AT1G01180	244
AT1G01183	0
AT1G01190	5
AT1G01200	44
AT1G01210	37
AT1G01220	170
AT1G01225	44
AT1G01230	257
AT1G01240	234
AT1G01250	1
AT1G01260	194
AT1G01270	0
AT1G01280	0
AT1G01290	99
AT1G01300	461
AT1G01305	0
AT1G01310	0
AT1G01320	1509
AT1G01340	57
AT1G01350	151
AT1G01355	1
AT1G01360	109
AT1G01370	30
AT1G01380	26
AT1G01390	105
AT1G01400	0
AT1G01410	0
AT1G01420	44
AT1G01430	1085
AT1G01440	306
AT1G01448	258
AT1G01450	0
AT1G01453	16
AT1G01460	0
AT1G01470	363
AT1G01471	0
AT1G01480	40
AT1G01490	521
AT1G01500	72
AT1G01510	319
AT1G01520	31
AT1G01530	0
AT1G01540	953
AT1G01550	1659
AT1G01560	2
AT1G01570	33
AT1G01580	32
AT1G01590	0
AT1G01600	40
AT1G01610	697
AT1G01620	13887
AT1G01630	475
AT1G01640	88
AT1G01650	231
AT1G01660	24
AT1G01670	5
AT1G01680	0
AT1G01690	47
AT1G01695	1
AT1G01700	10
AT1G01710	281
AT1G01720	260
AT1G01725	66
AT1G01730	224
AT1G01740	57
AT1G01750	68
AT1G01760	34
AT1G01770	207
AT1G01780	322
AT1G01790	1057
AT1G01800	343
AT1G01810	8
AT1G01820	465
AT1G01830	122
AT1G01840	7
AT1G01860	85
AT1G01870	0
AT1G01880	28
AT1G01890	0
AT1G01900	104
AT1G01910	265
AT1G01920	143
AT1G01930	137
AT1G01940	81
AT1G01950	286
AT1G01960	996
AT1G01970	139
AT1G01980	0
AT1G01990	143
AT1G02000	190
AT1G02010	185
AT1G02020	178
AT1G02030	7
AT1G02040	0
AT1G02050	91
AT1G02060	61
AT1G02065	6
AT1G02070	0
AT1G02074	1
AT1G02080	1154
AT1G02090	237
AT1G02100	506
AT1G02110	266
AT1G02120	984
AT1G02130	309
AT1G02140	451
AT1G02145	185
AT1G02150	451
AT1G02160	69
AT1G02170	296
AT1G02180	41
AT1G02190	1
AT1G02205	92
AT1G02210	0
AT1G02220	30
AT1G02230	4
AT1G02250	0
AT1G02260	165
AT1G02270	110
AT1G02280	335
AT1G02290	69
AT1G02300	161
AT1G02305	928
AT1G02310	3
AT1G02320	0
AT1G02330	178
AT1G02335	230
AT1G02340	235
AT1G02350	11
AT1G02360	202
AT1G02370	33
AT1G02380	16
AT1G02390	13
AT1G02391	0
AT1G02400	92
AT1G02405	5
AT1G02410	111
AT1G02420	26
AT1G02430	4
AT1G02440	0
AT1G02450	1
AT1G02460	10
AT1G02470	5
AT1G02475	138
AT1G02480	0
AT1G02490	0
AT1G02500	4192
AT1G02510	0
AT1G02520	58
AT1G02530	2
AT1G02540	0
AT1G02550	0
AT1G02560	751
AT1G02570	18
AT1G02575	4
AT1G02580	9
AT1G02590	0
AT1G02600	0
AT1G02610	39
AT1G02620	3
AT1G02630	3
AT1G02640	474
AT1G02650	29
AT1G02660	475
AT1G02670	48
AT1G02680	62
AT1G02690	111
AT1G02700	11
AT1G02710	0
AT1G02720	54
AT1G02730	305
AT1G02740	88
AT1G02750	85
AT1G02760	0
AT1G02770	16
AT1G02780	2401
AT1G02790	0
