Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200677.sam
AT1G01010	54
AT1G01020	34
AT1G01030	23
AT1G01040	514
AT1G01046	3
AT1G01050	364
AT1G01060	1402
AT1G01070	31
AT1G01073	0
AT1G01080	233
AT1G01090	1880
AT1G01100	635
AT1G01110	64
AT1G01115	0
AT1G01120	2280
AT1G01130	20
AT1G01140	487
AT1G01150	0
AT1G01160	227
AT1G01170	211
AT1G01180	225
AT1G01183	0
AT1G01190	3
AT1G01200	38
AT1G01210	28
AT1G01220	166
AT1G01225	21
AT1G01230	191
AT1G01240	192
AT1G01250	1
AT1G01260	166
AT1G01270	0
AT1G01280	0
AT1G01290	88
AT1G01300	586
AT1G01305	0
AT1G01310	0
AT1G01320	1486
AT1G01340	38
AT1G01350	138
AT1G01355	4
AT1G01360	97
AT1G01370	16
AT1G01380	18
AT1G01390	143
AT1G01400	0
AT1G01410	0
AT1G01420	33
AT1G01430	962
AT1G01440	293
AT1G01448	195
AT1G01450	0
AT1G01453	14
AT1G01460	0
AT1G01470	297
AT1G01471	0
AT1G01480	29
AT1G01490	532
AT1G01500	58
AT1G01510	345
AT1G01520	12
AT1G01530	0
AT1G01540	914
AT1G01550	1416
AT1G01560	1
AT1G01570	31
AT1G01580	44
AT1G01590	0
AT1G01600	41
AT1G01610	733
AT1G01620	13966
AT1G01630	422
AT1G01640	87
AT1G01650	203
AT1G01660	15
AT1G01670	4
AT1G01680	0
AT1G01690	36
AT1G01695	6
AT1G01700	3
AT1G01710	233
AT1G01720	240
AT1G01725	44
AT1G01730	288
AT1G01740	37
AT1G01750	74
AT1G01760	24
AT1G01770	178
AT1G01780	282
AT1G01790	1047
AT1G01800	339
AT1G01810	2
AT1G01820	430
AT1G01830	118
AT1G01840	5
AT1G01860	76
AT1G01870	0
AT1G01880	29
AT1G01890	0
AT1G01900	103
AT1G01910	287
AT1G01920	118
AT1G01930	129
AT1G01940	70
AT1G01950	253
AT1G01960	946
AT1G01970	127
AT1G01980	0
AT1G01990	172
AT1G02000	155
AT1G02010	140
AT1G02020	146
AT1G02030	8
AT1G02040	0
AT1G02050	74
AT1G02060	92
AT1G02065	1
AT1G02070	0
AT1G02074	1
AT1G02080	1079
AT1G02090	230
AT1G02100	464
AT1G02110	264
AT1G02120	755
AT1G02130	275
AT1G02140	451
AT1G02145	122
AT1G02150	489
AT1G02160	58
AT1G02170	266
AT1G02180	22
AT1G02190	0
AT1G02205	65
AT1G02210	0
AT1G02220	24
AT1G02230	3
AT1G02250	1
AT1G02260	121
AT1G02270	98
AT1G02280	337
AT1G02290	97
AT1G02300	147
AT1G02305	821
AT1G02310	4
AT1G02320	0
AT1G02330	183
AT1G02335	266
AT1G02340	208
AT1G02350	18
AT1G02360	205
AT1G02370	31
AT1G02380	11
AT1G02390	5
AT1G02391	0
AT1G02400	89
AT1G02405	4
AT1G02410	92
AT1G02420	21
AT1G02430	2
AT1G02440	0
AT1G02450	3
AT1G02460	20
AT1G02470	1
AT1G02475	136
AT1G02480	0
AT1G02490	0
AT1G02500	4973
AT1G02510	0
AT1G02520	63
AT1G02530	3
AT1G02540	0
AT1G02550	0
AT1G02560	743
AT1G02570	24
AT1G02575	4
AT1G02580	1
AT1G02590	0
AT1G02600	0
AT1G02610	17
AT1G02620	2
AT1G02630	5
AT1G02640	540
AT1G02650	23
AT1G02660	397
AT1G02670	39
AT1G02680	66
AT1G02690	105
AT1G02700	4
AT1G02710	0
AT1G02720	81
AT1G02730	344
AT1G02740	70
AT1G02750	52
AT1G02760	0
AT1G02770	9
AT1G02780	2423
AT1G02790	0
AT1G02800	13
AT1G02810	226
AT1G02813	0
AT1G02816	85
AT1G02820	12
AT1G02830	0
AT1G02840	1404
AT1G02850	99
AT1G02860	248
AT1G02870	77
AT1G02880	106
AT1G02890	1212
AT1G02900	316
AT1G02910	272
AT1G02920	126
AT1G02930	64
AT1G02940	2
AT1G02950	137
AT1G02952	1
AT1G02960	167
AT1G02965	0
AT1G02970	14
AT1G02980	0
AT1G02990	183
AT1G03000	273
AT1G03010	20
AT1G03020	0
AT1G03022	0
AT1G03030	88
AT1G03040	211
AT1G03050	0
AT1G03055	11
AT1G03060	637
AT1G03070	16
AT1G03080	1395
AT1G03090	2843
AT1G03100	4
AT1G03103	0
AT1G03106	6
AT1G03110	57
AT1G03120	10
AT1G03130	3880
AT1G03140	363
AT1G03150	92
AT1G03160	259
AT1G03170	3
AT1G03180	21
AT1G03190	102
AT1G03200	2
AT1G03210	226
AT1G03220	2639
AT1G03230	232
AT1G03240	0
AT1G03250	160
AT1G03260	86
AT1G03270	15
AT1G03280	367
AT1G03290	214
AT1G03300	51
AT1G03310	142
AT1G03320	3
AT1G03330	127
AT1G03340	11
AT1G03350	398
AT1G03360	33
AT1G03365	175
AT1G03370	324
AT1G03380	712
AT1G03390	0
AT1G03400	99
AT1G03410	275
AT1G03430	77
AT1G03440	122
AT1G03445	8
AT1G03457	197
AT1G03470	105
AT1G03475	655
AT1G03490	0
AT1G03495	0
AT1G03502	1
AT1G03506	1
AT1G03510	3
AT1G03515	0
AT1G03520	131
AT1G03530	102
AT1G03540	9
AT1G03545	11
AT1G03550	154
AT1G03560	81
AT1G03570	0
AT1G03590	593
AT1G03600	1787
AT1G03610	337
AT1G03620	26
AT1G03630	556
AT1G03640	0
AT1G03650	14
AT1G03660	6
AT1G03670	0
AT1G03680	663
AT1G03687	65
AT1G03700	7
AT1G03710	1
AT1G03720	0
AT1G03730	37
AT1G03740	455
AT1G03743	0
AT1G03746	0
AT1G03750	66
AT1G03760	70
AT1G03770	48
AT1G03780	104
AT1G03790	93
AT1G03800	7
AT1G03810	0
AT1G03820	71
AT1G03830	84
AT1G03840	12
AT1G03850	275
AT1G03860	277
AT1G03870	5747
AT1G03880	0
AT1G03890	0
AT1G03900	760
AT1G03905	29
AT1G03910	447
AT1G03920	74
AT1G03930	370
AT1G03935	4
AT1G03940	1
AT1G03950	97
AT1G03960	83
AT1G03970	154
AT1G03980	6
AT1G03982	0
AT1G03990	2
AT1G04000	146
AT1G04010	87
AT1G04020	39
AT1G04030	100
AT1G04040	1500
AT1G04050	50
AT1G04070	24
AT1G04080	708
AT1G04090	18
AT1G04100	47
AT1G04110	41
AT1G04120	628
AT1G04130	34
AT1G04140	1082
AT1G04150	0
AT1G04160	124
AT1G04170	554
AT1G04171	0
AT1G04180	96
AT1G04190	174
AT1G04200	185
AT1G04210	493
AT1G04220	89
AT1G04230	81
AT1G04240	1058
AT1G04250	1291
AT1G04260	131
AT1G04270	996
AT1G04280	812
AT1G04290	88
AT1G04295	6
AT1G04300	975
AT1G04310	202
AT1G04320	0
AT1G04330	3
AT1G04340	97
AT1G04350	284
AT1G04360	23
AT1G04370	0
AT1G04380	0
AT1G04390	92
AT1G04400	1321
AT1G04410	5654
AT1G04420	258
AT1G04425	5
AT1G04430	1141
AT1G04440	763
AT1G04445	2
AT1G04450	0
AT1G04470	1
AT1G04480	395
AT1G04490	5
AT1G04500	0
AT1G04501	0
AT1G04510	277
AT1G04520	50
AT1G04530	318
AT1G04540	1
AT1G04550	207
AT1G04555	26
AT1G04560	3
AT1G04570	6
AT1G04580	0
AT1G04590	90
AT1G04600	4
AT1G04610	40
AT1G04620	136
AT1G04625	0
AT1G04630	209
AT1G04635	5
AT1G04640	54
AT1G04645	0
AT1G04650	15
AT1G04660	450
AT1G04670	0
AT1G04680	833
AT1G04684	0
AT1G04690	525
AT1G04700	51
AT1G04710	115
AT1G04720	0
AT1G04730	33
AT1G04750	470
AT1G04760	8
AT1G04770	89
AT1G04778	6
AT1G04780	407
AT1G04790	188
AT1G04800	1415
AT1G04810	601
AT1G04820	5556
AT1G04830	229
AT1G04840	7
AT1G04850	614
AT1G04860	327
AT1G04870	90
AT1G04880	7
AT1G04890	0
