Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200674.sam
AT1G01010	62
AT1G01020	44
AT1G01030	33
AT1G01040	552
AT1G01046	3
AT1G01050	385
AT1G01060	2916
AT1G01070	19
AT1G01073	0
AT1G01080	353
AT1G01090	2188
AT1G01100	544
AT1G01110	28
AT1G01115	0
AT1G01120	1652
AT1G01130	13
AT1G01140	501
AT1G01150	0
AT1G01160	227
AT1G01170	230
AT1G01180	179
AT1G01183	0
AT1G01190	2
AT1G01200	9
AT1G01210	56
AT1G01220	170
AT1G01225	24
AT1G01230	153
AT1G01240	143
AT1G01250	4
AT1G01260	131
AT1G01270	0
AT1G01280	0
AT1G01290	76
AT1G01300	322
AT1G01305	0
AT1G01310	0
AT1G01320	2877
AT1G01340	91
AT1G01350	158
AT1G01355	0
AT1G01360	109
AT1G01370	11
AT1G01380	15
AT1G01390	119
AT1G01400	0
AT1G01410	0
AT1G01420	74
AT1G01430	1094
AT1G01440	300
AT1G01448	150
AT1G01450	0
AT1G01453	19
AT1G01460	0
AT1G01470	382
AT1G01471	0
AT1G01480	12
AT1G01490	668
AT1G01500	54
AT1G01510	272
AT1G01520	175
AT1G01530	0
AT1G01540	1136
AT1G01550	1370
AT1G01560	1
AT1G01570	20
AT1G01580	4
AT1G01590	0
AT1G01600	12
AT1G01610	747
AT1G01620	8128
AT1G01630	421
AT1G01640	60
AT1G01650	249
AT1G01660	14
AT1G01670	12
AT1G01680	0
AT1G01690	23
AT1G01695	1
AT1G01700	6
AT1G01710	248
AT1G01720	312
AT1G01725	27
AT1G01730	149
AT1G01740	49
AT1G01750	77
AT1G01760	30
AT1G01770	199
AT1G01780	221
AT1G01790	2391
AT1G01800	442
AT1G01810	2
AT1G01820	368
AT1G01830	105
AT1G01840	6
AT1G01860	105
AT1G01870	0
AT1G01880	19
AT1G01890	0
AT1G01900	78
AT1G01910	302
AT1G01920	116
AT1G01930	127
AT1G01940	63
AT1G01950	242
AT1G01960	762
AT1G01970	202
AT1G01980	0
AT1G01990	163
AT1G02000	173
AT1G02010	201
AT1G02020	163
AT1G02030	4
AT1G02040	0
AT1G02050	82
AT1G02060	63
AT1G02065	7
AT1G02070	0
AT1G02074	0
AT1G02080	1034
AT1G02090	233
AT1G02100	388
AT1G02110	204
AT1G02120	809
AT1G02130	263
AT1G02140	376
AT1G02145	114
AT1G02150	625
AT1G02160	45
AT1G02170	257
AT1G02180	13
AT1G02190	0
AT1G02205	92
AT1G02210	0
AT1G02220	75
AT1G02230	0
AT1G02250	0
AT1G02260	82
AT1G02270	82
AT1G02280	450
AT1G02290	42
AT1G02300	98
AT1G02305	648
AT1G02310	2
AT1G02320	0
AT1G02330	208
AT1G02335	173
AT1G02340	219
AT1G02350	18
AT1G02360	260
AT1G02370	24
AT1G02380	16
AT1G02390	12
AT1G02391	0
AT1G02400	63
AT1G02405	0
AT1G02410	125
AT1G02420	29
AT1G02430	0
AT1G02440	0
AT1G02450	0
AT1G02460	4
AT1G02470	4
AT1G02475	248
AT1G02480	0
AT1G02490	1
AT1G02500	4426
AT1G02510	0
AT1G02520	51
AT1G02530	1
AT1G02540	0
AT1G02550	0
AT1G02560	1308
AT1G02570	12
AT1G02575	3
AT1G02580	1
AT1G02590	0
AT1G02600	0
AT1G02610	66
AT1G02620	3
AT1G02630	5
AT1G02640	691
AT1G02650	34
AT1G02660	343
AT1G02670	23
AT1G02680	59
AT1G02690	83
AT1G02700	2
AT1G02710	0
AT1G02720	71
AT1G02730	248
AT1G02740	60
AT1G02750	81
