Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200693.sam
AT1G01010	105
AT1G01020	40
AT1G01030	18
AT1G01040	533
AT1G01046	4
AT1G01050	430
AT1G01060	1643
AT1G01070	42
AT1G01073	0
AT1G01080	349
AT1G01090	1823
AT1G01100	659
AT1G01110	38
AT1G01115	0
AT1G01120	2184
AT1G01130	12
AT1G01140	673
AT1G01150	0
AT1G01160	169
AT1G01170	250
AT1G01180	189
AT1G01183	0
AT1G01190	1
AT1G01200	41
AT1G01210	32
AT1G01220	219
AT1G01225	29
AT1G01230	187
AT1G01240	195
AT1G01250	1
AT1G01260	139
AT1G01270	0
AT1G01280	0
AT1G01290	86
AT1G01300	536
AT1G01305	0
AT1G01310	1
AT1G01320	2516
AT1G01340	57
AT1G01350	116
AT1G01355	1
AT1G01360	116
AT1G01370	25
AT1G01380	20
AT1G01390	72
AT1G01400	0
AT1G01410	0
AT1G01420	42
AT1G01430	922
AT1G01440	236
AT1G01448	226
AT1G01450	0
AT1G01453	31
AT1G01460	1
AT1G01470	499
AT1G01471	0
AT1G01480	25
AT1G01490	509
AT1G01500	62
AT1G01510	305
AT1G01520	32
AT1G01530	0
AT1G01540	862
AT1G01550	1390
AT1G01560	2
AT1G01570	21
AT1G01580	12
AT1G01590	2
AT1G01600	30
AT1G01610	780
AT1G01620	7957
AT1G01630	475
AT1G01640	60
AT1G01650	251
AT1G01660	23
AT1G01670	7
AT1G01680	1
AT1G01690	43
AT1G01695	3
AT1G01700	5
AT1G01710	275
AT1G01720	337
AT1G01725	25
AT1G01730	171
AT1G01740	43
AT1G01750	120
AT1G01760	33
AT1G01770	218
AT1G01780	233
AT1G01790	1300
AT1G01800	343
AT1G01810	2
AT1G01820	386
AT1G01830	121
AT1G01840	4
AT1G01860	85
AT1G01870	0
AT1G01880	17
AT1G01890	0
AT1G01900	85
AT1G01910	321
AT1G01920	125
AT1G01930	135
AT1G01940	44
AT1G01950	264
AT1G01960	1111
AT1G01970	146
AT1G01980	0
AT1G01990	120
AT1G02000	135
AT1G02010	178
AT1G02020	153
AT1G02030	5
AT1G02040	1
AT1G02050	61
AT1G02060	61
AT1G02065	3
AT1G02070	0
AT1G02074	0
AT1G02080	1320
AT1G02090	238
AT1G02100	356
AT1G02110	256
AT1G02120	730
AT1G02130	261
AT1G02140	378
AT1G02145	135
AT1G02150	495
AT1G02160	55
AT1G02170	268
AT1G02180	29
AT1G02190	0
AT1G02205	158
AT1G02210	0
AT1G02220	28
AT1G02230	6
AT1G02250	2
AT1G02260	112
AT1G02270	100
AT1G02280	432
AT1G02290	87
AT1G02300	108
AT1G02305	661
AT1G02310	4
AT1G02320	0
AT1G02330	172
AT1G02335	263
AT1G02340	84
AT1G02350	11
AT1G02360	280
AT1G02370	38
AT1G02380	17
AT1G02390	15
AT1G02391	0
AT1G02400	104
AT1G02405	0
AT1G02410	124
AT1G02420	26
AT1G02430	4
AT1G02440	0
AT1G02450	0
AT1G02460	19
AT1G02470	3
AT1G02475	197
AT1G02480	0
AT1G02490	0
AT1G02500	4519
AT1G02510	0
AT1G02520	109
AT1G02530	0
AT1G02540	0
AT1G02550	0
AT1G02560	981
AT1G02570	14
AT1G02575	3
AT1G02580	2
AT1G02590	0
AT1G02600	0
AT1G02610	30
AT1G02620	3
AT1G02630	1
AT1G02640	638
AT1G02650	25
AT1G02660	262
AT1G02670	22
AT1G02680	66
AT1G02690	131
AT1G02700	9
AT1G02710	0
AT1G02720	73
AT1G02730	445
AT1G02740	67
AT1G02750	73
AT1G02760	0
AT1G02770	16
AT1G02780	2455
AT1G02790	0
AT1G02800	10
AT1G02810	87
AT1G02813	3
AT1G02816	135
AT1G02820	7
AT1G02830	0
AT1G02840	1034
AT1G02850	171
AT1G02860	261
AT1G02870	43
AT1G02880	187
AT1G02890	1246
AT1G02900	318
AT1G02910	322
AT1G02920	274
AT1G02930	110
AT1G02940	1
AT1G02950	129
AT1G02952	0
AT1G02960	178
AT1G02965	0
AT1G02970	15
AT1G02980	3
AT1G02990	231
AT1G03000	283
AT1G03010	13
AT1G03020	0
AT1G03022	0
AT1G03030	122
AT1G03040	313
AT1G03050	0
AT1G03055	21
AT1G03060	822
AT1G03070	18
AT1G03080	1365
AT1G03090	1971
AT1G03100	16
AT1G03103	0
AT1G03106	3
AT1G03110	86
AT1G03120	9
AT1G03130	3523
AT1G03140	376
AT1G03150	92
AT1G03160	330
AT1G03170	9
AT1G03180	16
AT1G03190	113
AT1G03200	4
AT1G03210	172
AT1G03220	2962
AT1G03230	234
AT1G03240	0
AT1G03250	144
AT1G03260	75
AT1G03270	19
AT1G03280	371
AT1G03290	231
AT1G03300	50
AT1G03310	212
AT1G03320	2
AT1G03330	107
AT1G03340	31
AT1G03350	425
AT1G03360	40
AT1G03365	183
AT1G03370	376
AT1G03380	704
AT1G03390	0
AT1G03400	109
AT1G03410	162
AT1G03430	85
AT1G03440	94
AT1G03445	7
AT1G03457	187
AT1G03470	89
AT1G03475	924
AT1G03490	0
AT1G03495	1
AT1G03502	1
AT1G03506	0
AT1G03510	5
AT1G03515	0
AT1G03520	106
AT1G03530	83
AT1G03540	17
AT1G03545	7
AT1G03550	135
AT1G03560	97
AT1G03570	0
AT1G03590	500
AT1G03600	1857
AT1G03610	297
AT1G03620	10
AT1G03630	645
AT1G03640	0
AT1G03650	4
AT1G03660	10
AT1G03670	0
AT1G03680	868
AT1G03687	74
AT1G03700	2
AT1G03710	4
AT1G03720	0
AT1G03730	23
AT1G03740	442
AT1G03743	0
AT1G03746	0
AT1G03750	77
AT1G03760	51
AT1G03770	61
AT1G03780	119
AT1G03790	123
AT1G03800	3
AT1G03810	0
AT1G03820	42
AT1G03830	79
AT1G03840	20
AT1G03850	220
AT1G03860	265
AT1G03870	3388
AT1G03880	0
AT1G03890	0
AT1G03900	641
AT1G03905	37
AT1G03910	439
AT1G03920	79
AT1G03930	400
AT1G03935	6
AT1G03940	5
AT1G03950	128
AT1G03960	100
AT1G03970	111
AT1G03980	2
AT1G03982	0
AT1G03990	5
AT1G04000	118
AT1G04010	81
AT1G04020	58
AT1G04030	96
AT1G04040	1507
AT1G04050	47
AT1G04070	32
AT1G04080	754
AT1G04090	17
AT1G04100	39
AT1G04110	50
AT1G04120	966
AT1G04130	49
AT1G04140	993
AT1G04150	1
AT1G04160	115
AT1G04170	617
AT1G04171	0
AT1G04180	23
AT1G04190	169
AT1G04200	229
AT1G04210	518
AT1G04220	337
AT1G04230	64
AT1G04240	574
AT1G04250	913
AT1G04260	120
AT1G04270	1001
AT1G04280	663
AT1G04290	104
AT1G04295	8
AT1G04300	884
AT1G04310	188
AT1G04320	0
AT1G04330	4
AT1G04340	113
AT1G04350	395
AT1G04360	26
AT1G04370	0
AT1G04380	2
AT1G04390	105
AT1G04400	1498
AT1G04410	6307
AT1G04420	407
AT1G04425	7
AT1G04430	1228
AT1G04440	825
AT1G04445	3
AT1G04450	0
AT1G04470	0
AT1G04480	459
AT1G04490	13
AT1G04500	1
AT1G04501	0
AT1G04510	335
AT1G04520	85
AT1G04530	391
AT1G04540	1
AT1G04550	164
AT1G04555	31
AT1G04560	7
AT1G04570	2
AT1G04580	0
AT1G04590	101
AT1G04600	4
AT1G04610	34
AT1G04620	172
AT1G04625	0
AT1G04630	173
AT1G04635	6
AT1G04640	93
AT1G04645	0
AT1G04650	15
AT1G04660	244
AT1G04670	0
AT1G04680	910
AT1G04684	0
AT1G04690	563
AT1G04700	55
AT1G04710	140
AT1G04720	0
AT1G04730	40
AT1G04750	539
AT1G04760	16
AT1G04770	122
AT1G04778	9
AT1G04780	334
AT1G04790	201
AT1G04800	1218
AT1G04810	686
AT1G04820	4710
AT1G04830	186
AT1G04840	10
AT1G04850	680
AT1G04860	317
AT1G04870	136
AT1G04880	10
AT1G04890	0
AT1G04900	46
AT1G04910	270
AT1G04920	27
AT1G04930	30
AT1G04940	2
AT1G04945	33
AT1G04950	206
AT1G04960	227
AT1G04970	343
AT1G04980	116
AT1G04985	207
AT1G04990	235
AT1G05000	117
AT1G05010	5590
AT1G05020	43
AT1G05030	99
AT1G05040	0
AT1G05055	74
AT1G05060	116
AT1G05065	9
AT1G05070	118
AT1G05080	0
AT1G05085	0
AT1G05090	25
AT1G05100	5
AT1G05120	279
AT1G05136	0
AT1G05140	282
AT1G05150	548
AT1G05160	90
AT1G05170	111
AT1G05180	219
AT1G05190	1979
AT1G05200	216
AT1G05205	70
AT1G05210	31
AT1G05220	17
AT1G05230	367
AT1G05240	0
AT1G05250	117
AT1G05260	1213
AT1G05270	287
AT1G05280	6
AT1G05290	0
AT1G05291	0
AT1G05300	34
AT1G05310	61
AT1G05320	405
AT1G05330	3
AT1G05340	120
AT1G05350	222
AT1G05360	109
AT1G05370	13
AT1G05380	491
AT1G05385	122
AT1G05390	0
AT1G05400	5
AT1G05410	103
AT1G05420	11
AT1G05430	176
AT1G05440	23
AT1G05450	4
AT1G05460	85
AT1G05470	214
AT1G05490	30
AT1G05500	448
AT1G05510	3
AT1G05520	346
AT1G05530	11
AT1G05540	12
AT1G05550	0
AT1G05560	128
AT1G05562	91
AT1G05570	1562
AT1G05575	12
AT1G05577	0
AT1G05580	0
AT1G05590	149
AT1G05600	54
AT1G05610	10
AT1G05615	0
AT1G05620	206
AT1G05630	176
AT1G05640	30
AT1G05650	27
AT1G05660	54
AT1G05670	67
AT1G05675	2
AT1G05680	48
AT1G05690	16
AT1G05700	13
AT1G05710	77
AT1G05720	109
AT1G05730	3
AT1G05740	0
AT1G05750	24
AT1G05760	68
AT1G05770	7
AT1G05780	47
AT1G05785	39
AT1G05790	279
AT1G05800	0
AT1G05805	272
AT1G05810	211
AT1G05820	46
AT1G05830	558
AT1G05835	51
AT1G05840	274
AT1G05850	4592
AT1G05860	93
AT1G05870	370
AT1G05880	0
AT1G05890	842
AT1G05894	3
AT1G05900	149
AT1G05910	201
AT1G05920	0
AT1G05925	0
AT1G05930	0
AT1G05940	286
AT1G05950	47
AT1G05960	1074
AT1G05970	55
AT1G05980	0
AT1G05990	8
AT1G06000	201
AT1G06002	48
AT1G06010	39
AT1G06020	2
AT1G06030	9
AT1G06040	1176
AT1G06050	42
AT1G06060	200
AT1G06070	135
AT1G06080	48
AT1G06090	144
AT1G06100	0
AT1G06110	408
AT1G06120	42
AT1G06130	144
AT1G06135	0
AT1G06137	0
AT1G06140	6
AT1G06148	1
AT1G06149	0
AT1G06150	17
AT1G06160	2
AT1G06170	3
AT1G06180	19
AT1G06190	277
AT1G06200	229
AT1G06210	246
AT1G06220	532
AT1G06225	0
AT1G06230	607
AT1G06240	88
AT1G06250	1
AT1G06260	0
AT1G06265	57
AT1G06270	17
AT1G06280	0
AT1G06290	628
AT1G06310	4
AT1G06320	5
AT1G06330	3
AT1G06340	3
AT1G06350	53
AT1G06360	377
AT1G06380	48
AT1G06390	606
AT1G06400	401
AT1G06410	1580
AT1G06420	11
AT1G06430	806
AT1G06440	7
AT1G06450	21
AT1G06460	296
AT1G06470	175
AT1G06475	13
AT1G06480	0
AT1G06490	106
AT1G06500	55
AT1G06510	102
AT1G06515	87
AT1G06520	17
AT1G06530	347
AT1G06540	2
AT1G06550	416
AT1G06560	90
AT1G06570	927
AT1G06580	19
AT1G06590	75
AT1G06610	0
AT1G06620	195
AT1G06630	153
AT1G06640	1425
AT1G06645	119
AT1G06650	294
AT1G06660	20
AT1G06670	427
AT1G06680	16466
AT1G06690	242
AT1G06700	952
AT1G06710	35
AT1G06720	190
AT1G06730	135
AT1G06750	9
AT1G06760	1211
AT1G06770	66
AT1G06780	136
AT1G06790	53
AT1G06800	141
AT1G06810	0
AT1G06820	311
AT1G06830	7
AT1G06840	358
AT1G06850	123
AT1G06860	0
AT1G06870	151
AT1G06880	0
AT1G06890	400
AT1G06900	546
AT1G06910	41
AT1G06920	1
AT1G06923	13
AT1G06925	0
AT1G06930	6
AT1G06950	1150
AT1G06960	75
AT1G06970	0
AT1G06980	71
AT1G06990	0
AT1G07000	176
AT1G07010	464
AT1G07020	76
AT1G07025	0
AT1G07030	122
AT1G07040	305
AT1G07050	35
AT1G07051	0
AT1G07060	0
AT1G07070	51
AT1G07080	529
AT1G07090	98
AT1G07100	0
AT1G07110	1057
AT1G07119	9
AT1G07120	12
AT1G07128	21
AT1G07130	33
AT1G07135	23
AT1G07140	982
AT1G07150	83
AT1G07160	4
AT1G07170	70
AT1G07175	1
AT1G07180	223
AT1G07190	0
AT1G07200	529
AT1G07210	126
AT1G07220	71
AT1G07230	373
AT1G07240	291
AT1G07250	201
AT1G07260	50
AT1G07270	7
AT1G07280	172
AT1G07290	18
AT1G07300	10
AT1G07310	388
AT1G07320	1651
AT1G07330	1
AT1G07340	0
AT1G07350	496
AT1G07360	322
AT1G07370	58
AT1G07380	187
AT1G07390	19
AT1G07400	8
AT1G07410	31
AT1G07420	217
AT1G07430	10
AT1G07440	123
AT1G07450	7
AT1G07460	0
AT1G07470	140
AT1G07473	0
AT1G07476	0
AT1G07480	208
AT1G07485	6
AT1G07490	6
AT1G07500	6
AT1G07510	350
AT1G07520	127
AT1G07530	336
AT1G07540	0
AT1G07550	3
AT1G07560	30
AT1G07570	389
AT1G07580	0
AT1G07590	1886
AT1G07600	0
AT1G07610	1644
AT1G07615	55
AT1G07620	11
AT1G07630	317
AT1G07640	150
AT1G07645	2
AT1G07650	955
AT1G07660	106
AT1G07670	517
AT1G07680	1
AT1G07690	8
AT1G07700	190
AT1G07702	0
AT1G07705	161
AT1G07710	1
AT1G07720	667
AT1G07725	1
AT1G07728	169
AT1G07730	0
AT1G07740	21
AT1G07745	55
AT1G07747	0
AT1G07750	441
AT1G07760	0
AT1G07770	735
AT1G07780	28
AT1G07790	141
AT1G07795	6
AT1G07810	553
AT1G07820	286
AT1G07830	63
AT1G07840	115
AT1G07850	0
AT1G07860	0
AT1G07870	115
AT1G07880	25
AT1G07885	0
AT1G07890	4761
AT1G07900	6
AT1G07901	0
AT1G07910	160
AT1G07920	1205
AT1G07930	1604
AT1G07940	1637
AT1G07950	84
AT1G07960	144
AT1G07970	98
AT1G07980	98
AT1G07985	27
AT1G07990	519
AT1G08000	86
AT1G08005	3
AT1G08010	164
AT1G08030	142
AT1G08032	0
AT1G08035	0
AT1G08040	153
AT1G08050	74
AT1G08060	206
AT1G08065	0
AT1G08070	8
AT1G08080	0
AT1G08090	1
AT1G08100	0
AT1G08110	466
AT1G08115	4
AT1G08120	0
AT1G08125	136
AT1G08130	217
AT1G08135	0
AT1G08140	0
AT1G08150	0
AT1G08160	228
AT1G08165	3
AT1G08170	1
AT1G08180	39
AT1G08190	1115
AT1G08200	1777
AT1G08210	167
AT1G08220	24
AT1G08230	141
AT1G08240	0
AT1G08250	110
AT1G08260	175
AT1G08270	7
AT1G08280	78
AT1G08290	7
AT1G08300	43
AT1G08310	40
AT1G08315	90
AT1G08320	275
AT1G08340	135
AT1G08350	93
AT1G08360	906
AT1G08370	300
AT1G08380	10568
AT1G08390	41
AT1G08400	54
AT1G08410	81
AT1G08420	669
AT1G08430	52
AT1G08440	0
AT1G08450	376
AT1G08460	149
AT1G08465	61
AT1G08470	140
AT1G08480	384
AT1G08490	237
AT1G08500	129
AT1G08510	1450
AT1G08520	1805
AT1G08530	49
AT1G08540	618
AT1G08550	324
AT1G08560	203
AT1G08570	729
AT1G08580	87
AT1G08590	236
AT1G08592	12
AT1G08600	355
AT1G08610	22
AT1G08620	330
AT1G08630	513
AT1G08640	215
AT1G08650	255
AT1G08660	292
AT1G08670	67
AT1G08680	509
AT1G08695	0
