Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200686.sam
AT1G01010	72
AT1G01020	27
AT1G01030	18
AT1G01040	510
AT1G01046	1
AT1G01050	381
AT1G01060	1821
AT1G01070	51
AT1G01073	0
AT1G01080	281
AT1G01090	2037
AT1G01100	665
AT1G01110	40
AT1G01115	0
AT1G01120	2373
AT1G01130	20
AT1G01140	607
AT1G01150	0
AT1G01160	181
AT1G01170	237
AT1G01180	176
AT1G01183	0
AT1G01190	6
AT1G01200	43
AT1G01210	31
AT1G01220	204
AT1G01225	27
AT1G01230	206
AT1G01240	173
AT1G01250	3
AT1G01260	139
AT1G01270	0
AT1G01280	0
AT1G01290	80
AT1G01300	561
AT1G01305	0
AT1G01310	0
AT1G01320	2738
AT1G01340	46
AT1G01350	149
AT1G01355	0
AT1G01360	91
AT1G01370	23
AT1G01380	14
AT1G01390	107
AT1G01400	0
AT1G01410	0
AT1G01420	50
AT1G01430	1095
AT1G01440	281
AT1G01448	169
AT1G01450	0
AT1G01453	30
AT1G01460	0
AT1G01470	457
AT1G01471	0
AT1G01480	26
AT1G01490	474
AT1G01500	60
AT1G01510	304
AT1G01520	28
AT1G01530	0
AT1G01540	975
AT1G01550	1335
AT1G01560	0
AT1G01570	24
AT1G01580	7
AT1G01590	0
AT1G01600	25
AT1G01610	804
AT1G01620	8862
AT1G01630	471
AT1G01640	38
AT1G01650	241
AT1G01660	32
AT1G01670	7
AT1G01680	0
AT1G01690	31
AT1G01695	2
AT1G01700	8
AT1G01710	255
AT1G01720	339
AT1G01725	27
AT1G01730	190
AT1G01740	46
AT1G01750	153
AT1G01760	21
AT1G01770	173
AT1G01780	193
AT1G01790	1238
AT1G01800	305
AT1G01810	2
AT1G01820	350
AT1G01830	124
AT1G01840	4
AT1G01860	80
AT1G01870	0
AT1G01880	15
AT1G01890	0
AT1G01900	71
AT1G01910	278
AT1G01920	98
AT1G01930	114
AT1G01940	50
AT1G01950	244
AT1G01960	1143
AT1G01970	134
AT1G01980	0
AT1G01990	143
AT1G02000	162
AT1G02010	170
AT1G02020	136
AT1G02030	5
AT1G02040	0
AT1G02050	71
AT1G02060	71
AT1G02065	4
AT1G02070	0
AT1G02074	0
AT1G02080	1324
AT1G02090	248
AT1G02100	311
AT1G02110	260
AT1G02120	754
AT1G02130	241
AT1G02140	397
AT1G02145	128
AT1G02150	567
AT1G02160	48
AT1G02170	246
AT1G02180	24
AT1G02190	3
AT1G02205	128
AT1G02210	0
AT1G02220	28
AT1G02230	7
AT1G02250	0
AT1G02260	117
AT1G02270	84
AT1G02280	417
AT1G02290	68
AT1G02300	99
AT1G02305	743
AT1G02310	2
AT1G02320	0
AT1G02330	164
AT1G02335	248
AT1G02340	91
AT1G02350	15
AT1G02360	334
AT1G02370	38
AT1G02380	19
AT1G02390	7
AT1G02391	0
AT1G02400	81
AT1G02405	2
AT1G02410	109
AT1G02420	32
AT1G02430	1
AT1G02440	1
AT1G02450	1
AT1G02460	31
AT1G02470	1
AT1G02475	161
AT1G02480	0
AT1G02490	1
AT1G02500	5169
AT1G02510	0
AT1G02520	93
AT1G02530	1
AT1G02540	0
AT1G02550	0
AT1G02560	1005
AT1G02570	23
AT1G02575	2
AT1G02580	4
AT1G02590	0
AT1G02600	0
AT1G02610	42
AT1G02620	3
AT1G02630	2
AT1G02640	648
AT1G02650	18
AT1G02660	275
AT1G02670	20
AT1G02680	51
AT1G02690	106
AT1G02700	13
AT1G02710	1
AT1G02720	77
AT1G02730	406
AT1G02740	51
AT1G02750	79
AT1G02760	0
AT1G02770	16
AT1G02780	2489
AT1G02790	0
AT1G02800	6
AT1G02810	68
AT1G02813	1
AT1G02816	133
AT1G02820	15
AT1G02830	0
AT1G02840	1109
AT1G02850	203
AT1G02860	247
AT1G02870	63
AT1G02880	142
AT1G02890	1275
AT1G02900	302
AT1G02910	363
AT1G02920	287
AT1G02930	124
AT1G02940	1
AT1G02950	136
AT1G02952	0
AT1G02960	134
AT1G02965	0
AT1G02970	23
AT1G02980	0
AT1G02990	168
AT1G03000	237
AT1G03010	10
AT1G03020	1
AT1G03022	0
AT1G03030	97
AT1G03040	262
AT1G03050	0
AT1G03055	17
AT1G03060	843
AT1G03070	16
AT1G03080	1353
AT1G03090	2012
AT1G03100	12
AT1G03103	0
AT1G03106	1
AT1G03110	67
AT1G03120	4
AT1G03130	4618
AT1G03140	363
AT1G03150	90
AT1G03160	293
AT1G03170	1
AT1G03180	14
AT1G03190	102
AT1G03200	0
AT1G03210	167
AT1G03220	3070
AT1G03230	255
AT1G03240	3
AT1G03250	141
AT1G03260	72
AT1G03270	12
AT1G03280	350
AT1G03290	180
AT1G03300	58
AT1G03310	211
AT1G03320	1
AT1G03330	136
AT1G03340	30
AT1G03350	498
AT1G03360	48
AT1G03365	176
AT1G03370	333
AT1G03380	678
AT1G03390	0
AT1G03400	114
AT1G03410	201
AT1G03430	77
AT1G03440	123
AT1G03445	3
AT1G03457	207
AT1G03470	94
AT1G03475	903
AT1G03490	0
AT1G03495	6
AT1G03502	0
AT1G03506	0
AT1G03510	10
AT1G03515	0
AT1G03520	108
AT1G03530	96
AT1G03540	16
AT1G03545	7
AT1G03550	110
AT1G03560	100
AT1G03570	0
AT1G03590	570
AT1G03600	2241
AT1G03610	312
AT1G03620	15
AT1G03630	715
AT1G03640	0
AT1G03650	12
AT1G03660	7
AT1G03670	0
AT1G03680	863
AT1G03687	71
AT1G03700	6
AT1G03710	1
AT1G03720	0
AT1G03730	23
AT1G03740	383
AT1G03743	0
AT1G03746	0
AT1G03750	53
AT1G03760	39
AT1G03770	61
AT1G03780	102
AT1G03790	114
AT1G03800	4
AT1G03810	0
AT1G03820	29
AT1G03830	66
AT1G03840	7
AT1G03850	228
AT1G03860	279
AT1G03870	3498
AT1G03880	0
AT1G03890	0
AT1G03900	723
AT1G03905	35
AT1G03910	483
AT1G03920	69
AT1G03930	320
AT1G03935	5
AT1G03940	2
AT1G03950	110
AT1G03960	60
AT1G03970	130
AT1G03980	6
AT1G03982	0
AT1G03990	3
AT1G04000	141
AT1G04010	73
AT1G04020	41
AT1G04030	102
AT1G04040	1440
AT1G04050	37
AT1G04070	35
AT1G04080	736
AT1G04090	13
AT1G04100	29
AT1G04110	47
AT1G04120	860
AT1G04130	58
AT1G04140	992
AT1G04150	0
AT1G04160	109
AT1G04170	570
AT1G04171	0
AT1G04180	29
AT1G04190	135
AT1G04200	165
AT1G04210	526
AT1G04220	348
AT1G04230	74
AT1G04240	518
AT1G04250	931
AT1G04260	99
AT1G04270	1083
AT1G04280	725
AT1G04290	92
AT1G04295	6
AT1G04300	871
AT1G04310	148
AT1G04320	0
AT1G04330	0
AT1G04340	112
AT1G04350	390
AT1G04360	22
AT1G04370	0
AT1G04380	2
AT1G04390	92
AT1G04400	1374
AT1G04410	6490
AT1G04420	437
AT1G04425	5
AT1G04430	1143
AT1G04440	781
AT1G04445	9
AT1G04450	0
AT1G04470	1
AT1G04480	423
AT1G04490	10
AT1G04500	0
AT1G04501	0
AT1G04510	309
AT1G04520	93
AT1G04530	395
AT1G04540	2
AT1G04550	176
AT1G04555	27
AT1G04560	6
AT1G04570	4
AT1G04580	1
AT1G04590	108
AT1G04600	2
AT1G04610	22
AT1G04620	163
AT1G04625	1
AT1G04630	190
AT1G04635	10
AT1G04640	93
AT1G04645	0
AT1G04650	10
AT1G04660	300
AT1G04670	0
AT1G04680	923
AT1G04684	0
AT1G04690	534
AT1G04700	63
AT1G04710	137
AT1G04720	0
AT1G04730	45
AT1G04750	484
AT1G04760	10
AT1G04770	78
AT1G04778	14
AT1G04780	395
AT1G04790	196
AT1G04800	1537
AT1G04810	643
AT1G04820	4655
AT1G04830	206
AT1G04840	4
AT1G04850	654
AT1G04860	332
AT1G04870	113
AT1G04880	6
AT1G04890	0
AT1G04900	37
AT1G04910	274
AT1G04920	21
AT1G04930	47
AT1G04940	0
AT1G04945	25
AT1G04950	207
AT1G04960	202
AT1G04970	330
AT1G04980	114
AT1G04985	237
AT1G04990	203
AT1G05000	91
AT1G05010	5837
AT1G05020	48
AT1G05030	101
AT1G05040	0
AT1G05055	55
AT1G05060	107
AT1G05065	2
AT1G05070	114
AT1G05080	0
AT1G05085	0
AT1G05090	21
AT1G05100	9
AT1G05120	237
AT1G05136	0
AT1G05140	330
AT1G05150	571
AT1G05160	88
AT1G05170	120
AT1G05180	230
AT1G05190	2100
AT1G05200	259
AT1G05205	78
AT1G05210	18
AT1G05220	9
AT1G05230	386
AT1G05240	1
AT1G05250	148
AT1G05260	1161
AT1G05270	254
AT1G05280	12
AT1G05290	0
AT1G05291	0
AT1G05300	36
AT1G05310	63
AT1G05320	402
AT1G05330	0
AT1G05340	140
AT1G05350	209
AT1G05360	98
AT1G05370	19
AT1G05380	536
AT1G05385	102
AT1G05390	0
AT1G05400	13
AT1G05410	102
AT1G05420	17
AT1G05430	181
AT1G05440	17
AT1G05450	6
AT1G05460	96
AT1G05470	194
AT1G05490	19
AT1G05500	457
AT1G05510	8
AT1G05520	380
AT1G05530	12
AT1G05540	17
AT1G05550	2
AT1G05560	173
AT1G05562	98
AT1G05570	1461
AT1G05575	11
AT1G05577	1
AT1G05580	0
AT1G05590	144
AT1G05600	46
AT1G05610	11
AT1G05615	0
AT1G05620	195
AT1G05630	195
AT1G05640	24
AT1G05650	36
AT1G05660	58
AT1G05670	60
AT1G05675	0
AT1G05680	42
AT1G05690	25
AT1G05700	9
AT1G05710	70
AT1G05720	106
AT1G05730	6
AT1G05740	1
AT1G05750	27
AT1G05760	78
AT1G05770	15
AT1G05780	37
AT1G05785	44
AT1G05790	278
AT1G05800	0
AT1G05805	267
AT1G05810	208
AT1G05820	36
AT1G05830	550
AT1G05835	52
AT1G05840	302
AT1G05850	4738
AT1G05860	58
AT1G05870	384
AT1G05880	0
AT1G05890	820
AT1G05894	4
AT1G05900	127
AT1G05910	194
AT1G05920	0
AT1G05925	0
AT1G05930	0
AT1G05940	269
AT1G05950	61
AT1G05960	1025
AT1G05970	35
AT1G05980	0
AT1G05990	7
AT1G06000	213
AT1G06002	37
AT1G06010	31
AT1G06020	8
AT1G06030	7
AT1G06040	1121
AT1G06050	30
AT1G06060	192
AT1G06070	113
AT1G06080	39
AT1G06090	160
AT1G06100	0
AT1G06110	413
AT1G06120	36
AT1G06130	129
AT1G06135	0
AT1G06137	0
AT1G06140	10
AT1G06148	2
AT1G06149	0
AT1G06150	17
AT1G06160	4
AT1G06170	7
AT1G06180	16
AT1G06190	231
AT1G06200	256
AT1G06210	246
AT1G06220	480
AT1G06225	0
AT1G06230	613
AT1G06240	86
AT1G06250	1
AT1G06260	0
AT1G06265	51
AT1G06270	23
AT1G06280	0
AT1G06290	620
AT1G06310	1
AT1G06320	3
AT1G06330	2
AT1G06340	1
AT1G06350	61
AT1G06360	371
AT1G06380	43
AT1G06390	618
AT1G06400	447
AT1G06410	1632
AT1G06420	5
AT1G06430	890
AT1G06440	9
AT1G06450	25
AT1G06460	267
AT1G06470	147
AT1G06475	9
AT1G06480	0
AT1G06490	100
AT1G06500	63
AT1G06510	81
AT1G06515	70
AT1G06520	18
AT1G06530	344
AT1G06540	1
AT1G06550	398
AT1G06560	66
AT1G06570	970
AT1G06580	13
AT1G06590	76
AT1G06610	0
AT1G06620	200
AT1G06630	154
AT1G06640	1415
AT1G06645	124
AT1G06650	256
AT1G06660	24
AT1G06670	470
AT1G06680	19294
AT1G06690	225
AT1G06700	948
AT1G06710	37
AT1G06720	178
AT1G06730	107
AT1G06750	7
AT1G06760	1191
AT1G06770	55
AT1G06780	147
AT1G06790	40
AT1G06800	133
AT1G06810	0
AT1G06820	288
AT1G06830	14
AT1G06840	307
AT1G06850	159
AT1G06860	0
AT1G06870	178
AT1G06880	0
AT1G06890	299
AT1G06900	537
AT1G06910	33
AT1G06920	0
AT1G06923	20
AT1G06925	0
AT1G06930	4
AT1G06950	1159
AT1G06960	83
AT1G06970	1
AT1G06980	65
AT1G06990	1
AT1G07000	180
AT1G07010	462
AT1G07020	104
AT1G07025	0
AT1G07030	113
AT1G07040	296
AT1G07050	32
AT1G07051	0
AT1G07060	0
AT1G07070	52
AT1G07080	529
AT1G07090	88
AT1G07100	0
AT1G07110	1029
AT1G07119	14
AT1G07120	7
AT1G07128	20
AT1G07130	17
AT1G07135	21
AT1G07140	1007
AT1G07150	72
AT1G07160	3
AT1G07170	76
AT1G07175	0
AT1G07180	275
AT1G07190	0
AT1G07200	589
AT1G07210	126
AT1G07220	46
AT1G07230	374
AT1G07240	277
AT1G07250	225
AT1G07260	55
AT1G07270	8
AT1G07280	187
AT1G07290	17
AT1G07300	25
AT1G07310	430
AT1G07320	1732
AT1G07330	0
AT1G07340	0
AT1G07350	434
AT1G07360	349
AT1G07370	70
AT1G07380	154
AT1G07390	16
AT1G07400	8
AT1G07410	31
AT1G07420	191
AT1G07430	17
AT1G07440	122
AT1G07450	9
AT1G07460	0
AT1G07470	150
AT1G07473	1
AT1G07476	0
AT1G07480	191
AT1G07485	3
AT1G07490	5
AT1G07500	7
AT1G07510	332
AT1G07520	101
AT1G07530	321
AT1G07540	0
AT1G07550	2
AT1G07560	25
AT1G07570	356
AT1G07580	0
AT1G07590	1887
AT1G07600	0
AT1G07610	1688
AT1G07615	60
AT1G07620	11
AT1G07630	270
